food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
NONIND_0398,Acorn Jelly,Acornjelly,Non-Indian reference food,portion,105,150,195,0.5,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.88,9.205020920502092,Original country: Korea. Renamed generically for Indian audience.
NONIND_0083,Adanhalus,Adanhalus,Non-Indian reference food,portion,105,150,195,0.5,72.1,Henry et al. GI tables (non-Indian cohort),48.07,48.07,48.07,High,0.88,66.67128987517337,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0480,Adlay,Adlay,Non-Indian reference food,portion,105,150,195,0.5,55.0,Henry et al. GI tables (non-Indian cohort),7.33,7.33,7.33,Low,0.88,13.327272727272728,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0632,Aeglemarmelos,Aeglemarmelos(Beli),Non-Indian reference food,portion,105,150,195,0.5,50.0,Henry et al. GI tables (non-Indian cohort),13.33,13.33,13.33,Medium,0.88,26.66,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0639,Aervalanata,Aervalanata(Polpala),Non-Indian reference food,portion,105,150,195,0.5,32.0,Henry et al. GI tables (non-Indian cohort),8.53,8.53,8.53,Low,0.88,26.656249999999996,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0774,Ajwah,Ajwah,Non-Indian reference food,portion,105,150,195,0.5,55.9,Henry et al. GI tables (non-Indian cohort),26.57,26.57,26.57,High,0.88,47.53130590339893,Original country: SaudiArabia. Renamed generically for Indian audience.
T3_0075,Akki Roti,Akki roti (rice roti),Breads & flatbreads,piece,22,30,38,0.8,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,35.93,28.09,44.42,High,0.66,51.32857142857143,Rice flour roti; recipe-based.
IND_HENRY2021_703,Alkali Treatedmaize,Alkali-treatedmaize (with wholebengal gram),Other,portion,105,150,195,0.5,69.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",9.2,9.2,9.2,Low,0.9,13.333333333333332,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.
NONIND_0397,All Bran,"All-Bran(Kellogg’Sinc.,Southkorea)",Non-Indian reference food,portion,105,150,195,0.5,51.4,Henry et al. GI tables (non-Indian cohort),29.81,29.81,29.81,High,0.88,57.996108949416346,Original country: Korea. Renamed generically for Indian audience.
T3_0109,Aloo Chaat,Aloo chaat,Snacks,handful,15,25,35,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,57.6,57.6,57.6,High,0.62,72.0,Potato; recipe-based.
T3_0009,Aloo Gobi,Aloo gobi,Mixed meals,portion,105,150,195,0.5,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.0,6.0,6.0,Low,0.7,8.0,Potato-forward sabzi; higher GI component.
T3_0010,Aloo Matar,Aloo matar,Mixed meals,portion,105,150,195,0.5,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.53,6.53,6.53,Low,0.7,9.32857142857143,Potato + peas; recipe-based.
T2_0044,Aloo Paratha,Aloo paratha,Breads & flatbreads,piece,60,80,100,0.75,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.21,18.28,26.71,High,0.8,29.613333333333333,Stuffing changes density; recipe-based.
T3_0148,Aloo Puri,Aloo puri,Mixed meals,piece,15,20,25,0.7,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,80.0,80.0,80.0,High,0.6,100.0,Fried bread + potato; recipe-based.
T3_0093,Aloo Tikki,Aloo tikki,Snacks,handful,15,25,35,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,64.0,64.0,64.0,High,0.64,80.0,Potato patty; recipe-based.
IND_HENRY2021_694,Appam,Appam,Other,portion,105,150,195,0.5,59.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23).",16.37,16.37,16.37,Medium,0.92,27.328881469115192,Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.
