food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,aliases_compiled,search_text,available_carbs_per_serving_calc,available_carbs_quality_flag,available_carbs_g_original,available_carbs_per_serving_original
NONIND_0398,Acorn Jelly,Acornjelly,Non-Indian reference food,portion,105,150,195,0.5,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.88,9.2,Original country: Korea. Renamed generically for Indian audience.,Acornjelly | acornjelly,"Acorn Jelly | aka Acornjelly | aliases: Acornjelly, acornjelly | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 71.7 | GL_median: 6.6 | GL_category: Low | available_carbs_g: 9.2 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Korea. Renamed generically for Indian audience.",13.8,PASS,9.2,13.8
NONIND_0083,Adanhalus,Adanhalus,Non-Indian reference food,portion,105,150,195,0.5,72.1,Henry et al. GI tables (non-Indian cohort),48.07,48.07,48.07,High,0.88,66.66666667,Original country: Malaysia. Renamed generically for Indian audience.,,Adanhalus | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 72.1 | GL_median: 48.07 | GL_category: High | available_carbs_g: 66.6667 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Malaysia. Renamed generically for Indian audience.,100.0,PASS,66.66666667,100.0
NONIND_0480,Adlay,Adlay,Non-Indian reference food,portion,105,150,195,0.5,55.0,Henry et al. GI tables (non-Indian cohort),7.33,7.33,7.33,Low,0.88,13.33333333,"Original country: Taiwan,China. Renamed generically for Indian audience.",,"Adlay | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 55 | GL_median: 7.33 | GL_category: Low | available_carbs_g: 13.3333 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Taiwan,China. Renamed generically for Indian audience.",20.0,PASS,13.33333333,20.0
NONIND_0632,Aeglemarmelos,Aeglemarmelos(Beli),Non-Indian reference food,portion,105,150,195,0.5,50.0,Henry et al. GI tables (non-Indian cohort),13.33,13.33,13.33,Medium,0.88,26.66666667,Original country: SriLanka. Renamed generically for Indian audience.,Aeglemarmelos(Beli) | aeglemarmelos(beli),"Aeglemarmelos | aka Aeglemarmelos(Beli) | aliases: Aeglemarmelos(Beli), aeglemarmelos(beli) | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 50 | GL_median: 13.33 | GL_category: Medium | available_carbs_g: 26.6667 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: SriLanka. Renamed generically for Indian audience.",40.0,PASS,26.66666667,40.0
NONIND_0639,Aervalanata,Aervalanata(Polpala),Non-Indian reference food,portion,105,150,195,0.5,32.0,Henry et al. GI tables (non-Indian cohort),8.53,8.53,8.53,Low,0.88,26.66666667,Original country: SriLanka. Renamed generically for Indian audience.,Aervalanata(Polpala) | aervalanata(polpala),"Aervalanata | aka Aervalanata(Polpala) | aliases: Aervalanata(Polpala), aervalanata(polpala) | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 32 | GL_median: 8.53 | GL_category: Low | available_carbs_g: 26.6667 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: SriLanka. Renamed generically for Indian audience.",40.0,PASS,26.66666667,40.0
NONIND_0774,Ajwah,Ajwah,Non-Indian reference food,portion,105,150,195,0.5,55.9,Henry et al. GI tables (non-Indian cohort),26.57,26.57,26.57,High,0.88,47.53333333,Original country: SaudiArabia. Renamed generically for Indian audience.,,Ajwah | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 55.9 | GL_median: 26.57 | GL_category: High | available_carbs_g: 47.5333 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: SaudiArabia. Renamed generically for Indian audience.,71.3,PASS,47.53333333,71.3
T3_0075,Akki Roti,Akki roti (rice roti),Breads & flatbreads,piece,22,30,38,0.8,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,35.93,28.09,44.42,High,0.66,93.33333333,Rice flour roti; recipe-based.,Akki roti (rice roti) | akki roti (rice roti) | akkiroti(riceroti) | akkiroti,"Akki Roti | aka Akki roti (rice roti) | aliases: Akki roti (rice roti), akki roti (rice roti), akkiroti(riceroti), akkiroti | category: Breads & flatbreads | serving_type: piece | serving_g: 30(min 22 max 38) | GI: 70 | GL_median: 35.93 | GL_category: High | available_carbs_g: 93.3333 | confidence_score: 0.66 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Rice flour roti; recipe-based.",28.0,PASS,93.33333333,28.0
IND_HENRY2021_703,Alkali Treatedmaize,Alkali-treatedmaize (with wholebengal gram),Other,portion,105,150,195,0.5,69.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",9.2,9.2,9.2,Low,0.9,13.33333333,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.,Alkali treatedmaize (with wholebengal gram) | alkali treatedmaize (with wholebengal gram) | alkali-treatedmaize (with wholebengal gram) | Alkali-treatedmaize (with wholebengal gram) | Alkali-treatedmaize | alkali-treatedmaize | alkalitreatedmaize,"Alkali Treatedmaize | aka Alkali-treatedmaize (with wholebengal gram) | aliases: Alkali treatedmaize (with wholebengal gram), alkali treatedmaize (with wholebengal gram), alkali-treatedmaize (with wholebengal gram), Alkali-treatedmaize (with wholebengal gram), Alkali-treatedmaize, alkali-treatedmaize, alkalitreatedmaize | category: Other | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 69 | GL_median: 9.2 | GL_category: Low | available_carbs_g: 13.3333 | confidence_score: 0.9 | evidence: Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24). | notes: Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.",20.0,PASS,13.33333333,20.0
NONIND_0397,All Bran,"All-Bran(Kellogg’Sinc.,Southkorea)",Non-Indian reference food,portion,105,150,195,0.5,51.4,Henry et al. GI tables (non-Indian cohort),29.81,29.81,29.81,High,0.88,58.0,Original country: Korea. Renamed generically for Indian audience.,"all bran(kellogg sinc ,southkorea) | All Bran(Kellogg’Sinc.,Southkorea) | all-bran(kellogg sinc ,southkorea) | All-Bran(Kellogg’Sinc.,Southkorea) | All-Bran(Kellogg’Sinc. | all-bran(kellogg sinc | all-bran(kelloggsinc | Southkorea) | southkorea) | All-Bran | all-bran | allbran","All Bran | aka All-Bran(Kellogg’Sinc.,Southkorea) | aliases: all bran(kellogg sinc  southkorea), All Bran(Kellogg’Sinc. Southkorea), all-bran(kellogg sinc  southkorea), All-Bran(Kellogg’Sinc. Southkorea), All-Bran(Kellogg’Sinc., all-bran(kellogg sinc, all-bran(kelloggsinc, Southkorea), southkorea), All-Bran, all-bran, allbran | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 51.4 | GL_median: 29.81 | GL_category: High | available_carbs_g: 58 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Korea. Renamed generically for Indian audience.",87.0,PASS,58.0,87.0
T3_0109,Aloo Chaat,Aloo chaat,Snacks,handful,15,25,35,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,57.6,57.6,57.6,High,0.62,72.0,Potato; recipe-based.,aloochaat,Aloo Chaat | aka Aloo chaat | aliases: aloochaat | category: Snacks | serving_type: handful | serving_g: 25(min 15 max 35) | GI: 80 | GL_median: 57.6 | GL_category: High | available_carbs_g: 72 | confidence_score: 0.62 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Potato; recipe-based.,18.0,PASS,72.0,18.0
