Category,S.No.,Food Item,EGL(Per 100G of uncooked food)
Vegetables,1,Raddish Leaves (Mooli Patta),0.36
Vegetables,2,Lettuce (Salad Patta),0.37
Vegetables,3,Cucumber (Kheera),0.37
Vegetables,4,Zuchini (Torai),0.45
Vegetables,5,Ridge Gourd (Torai),0.51
Vegetables,6,Tinda,0.51
Vegetables,7,Brinjal (Baigan),0.6
Vegetables,8,Bottle Gourd (Louki),0.63
Vegetables,9,Carissa (Karonda),0.87
Vegetables,10,Chenopodium Album(Bathua),0.92
Vegetables,11,Spinach (Palak),0.92
Vegetables,12,Pointed Gourd (Parwal),1.02
Vegetables,13,Mustard Leaves (Sarso ki Patti),1.02
Vegetables,14,Radish (Mooli),1.02
Vegetables,15,Mushroom,1.03
Vegetables,16,Drumsticks (Saijan),1.1
Vegetables,17,Cauliflower (Phoolgobhi),1.2
Vegetables,18,Amaranth Leaves (Choulai ka Saag),1.21
Vegetables,19,Bitter Gourd (Karela),1.34
Vegetables,20,Capsicum (Shimla Mirch),1.34
Vegetables,21,Tomato (Tamatar),1.36
Vegetables,22,French Been (Sem),1.44
Vegetables,23,Mint (Pudina),1.85
Vegetables,24,Methi Leaf,1.85
Vegetables,25,Onion (pyaz),1.89
Vegetables,26,Knol Khol (Ganth Gobhi),1.9
Vegetables,27,Kheksa,1.92
Vegetables,28,Dhania Leaf,2.01
Vegetables,29,Lady Finger (Bhindi),2.04
Vegetables,30,Cabbage (Patta Gobhi),2.07
Vegetables,31,Beet Green (Chukandar ke Patte),2.08
Vegetables,32,Broccoli,2.11
Vegetables,33,Colocasia Leaves (Aalo ki Pattiyan),2.17
Vegetables,34,Brussels Sprout,2.27
Vegetables,35,Papaya Green,2.28
Vegetables,36,Broad Bean (Baakla),2.3
Vegetables,37,Onion Stalk,2.84
Vegetables,38,Pumpkin (kaddu),3.45
Vegetables,39,Jack Fruit (Kathal),3.76
Vegetables,40,Mango Green,4
Vegetables,41,Carrot (Gajar),4
Vegetables,42,Turnip (Saljam),4.46
Vegetables,43,Plantain (Banana Green),4.48
Vegetables,44,Green Peas (Hari matar),5.08
Vegetables,45,Beetroot (Chukandar),5.63
Vegetables,46,Ash gourd (Green Pumpkin),5.7
Vegetables,47,Sweet Potato (Shakarkand),11.28
Vegetables,48,Sweet Corns,11.4
Vegetables,49,Yam,13
Vegetables,50,Potato (Aaloo),13.56
Vegetables,51,Colocasia (Arbi),16.8
Vegetables,52,Water Chestnut (Singhada),19.8
Vegetables,53,Lotus Stem - Dry,28.27
Fruits,1,Gooseberry (Amla),2.05
Fruits,2,Muskmelon (Kharbooja),2.1
Fruits,3,Lemon,2.22
Fruits,4,Watermelon (Tarbooj),2.47
Fruits,5,Raspberry,2.92
Fruits,6,Cherie (Red),3.03
Fruits,7,Apricot Fresh (Khumani),3.48
Fruits,8,Phalsa,3.67
Fruits,9,Indian Blackberry (Jamun),4.08
Fruits,10,Papaya,4.17
Fruits,11,Plum (Aloo Bukhara),4.21
Fruits,12,Peach (Aaroo),4.41
Fruits,13,Indian Plum (Ber),4.44
Fruits,14,Pear (Nashpati),4.52
Fruits,15,Fig (Anjeer),4.63
Fruits,16,Apple,4.69
Fruits,17,Mosambi (Sweet lime),4.73
Fruits,18,Lichi,4.76
Fruits,19,Strawberry,4.9
Fruits,20,Orange,5.23
Fruits,21,Pineapple,6.37
Fruits,22,Guava (Amrood),7.28
Fruits,23,Grapes,7.42
Fruits,24,Kiwi,7.79
Fruits,25,Custard Apple (Shareefa),8.82
Fruits,26,Mango (Ripe),9.29
Fruits,27,Pomegranate (Anaar),9.71
Fruits,28,Sapota (Chiku),11.77
Fruits,29,Dates (Khajoor) - Fresh,12.09
Fruits,30,Banana,14.14
Fruits,31,Loquat,14.8
Fruits,32,Ripe Jackfruit (Paka Kathal),14.85
Fruits,33,Wood Apple (Bael),20.67
Milk Product & Fat,1,Desi Ghee,0
Milk Product & Fat,2,"Any Oil (Olive, Canola etc.)",0
Milk Product & Fat,3,Butter,0
Milk Product & Fat,4,Nutrilite Butter,0
Milk Product & Fat,5,Paneer,0.54
Milk Product & Fat,6,Soya Paneer,0.6
Milk Product & Fat,7,Cream,0.75
Milk Product & Fat,8,Butter Milk,0.9
Milk Product & Fat,9,Cottage Cheese,1.62
Milk Product & Fat,10,Cheese Slice,1.7
Milk Product & Fat,11,Cheese block,1.7
Milk Product & Fat,12,Mozzarella Cheese,1.7
Milk Product & Fat,13,Curd,1.8
Milk Product & Fat,14,Milk Full Cream,1.9
Milk Product & Fat,15,Toned Milk,1.9
Milk Product & Fat,16,Cow's Milk,1.9
Milk Product & Fat,17,Double Toned Milk,1.9
Milk Product & Fat,18,Cheese Spread,3.51
Milk Product & Fat,19,Soya Milk,5.6
Milk Product & Fat,20,Khoya,12
Milk Product & Fat,21,Milk Powder Whole,22.8
Milk Product & Fat,22,Milk Powder Skimmed,30
Nuts & Dry Fruits,1,WaterMelon Seeds,0.45
Nuts & Dry Fruits,2,Coconut Water,0.88
Nuts & Dry Fruits,3,Almonds (Badaam),1.05
Nuts & Dry Fruits,4,Charoli (Chirongi),1.2
Nuts & Dry Fruits,5,Walnut (Akhrot),1.6
Nuts & Dry Fruits,6,Coconut Dry,1.84
Nuts & Dry Fruits,7,Peanut,2.15
Nuts & Dry Fruits,8,Niger Seeds (Ramtil),2.55
Nuts & Dry Fruits,9,Coconut Fresh,2.6
Nuts & Dry Fruits,10,Flax Seeds,2.8
Nuts & Dry Fruits,11,Pistachio Nuts (pista),2.88
Nuts & Dry Fruits,12,Sunflower Seeds,3.6
Nuts & Dry Fruits,13,Mustard Seeds,4.75
Nuts & Dry Fruits,14,Cashew Nut (kaju),4.84
Nuts & Dry Fruits,15,Pumpkin seeds,5.37
Nuts & Dry Fruits,16,Kinnow (Mandrain),5.46
Nuts & Dry Fruits,17,Gingelly Seeds (Till),5.75
Nuts & Dry Fruits,18,Garden Cress (Chandrashoor),9.9
Nuts & Dry Fruits,19,Pine Nut (Chilgoza),10.15
Nuts & Dry Fruits,20,Blueberries,11.3
Nuts & Dry Fruits,21,Safflower seeds (Kusum Beej),15.3
