food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
INDWEBX_00001,Aam panna,Aam panna,Beverages,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00002,Coconut water,Coconut water,Beverages,portion,100,100,100,0.9,35.0,Henry et al. GI tables (non-Indian cohort),21.61,21.61,21.61,High,0.45,61.73,Per-100g values proxy-mapped to validated source item 'Coconut Sapsugar' (food_id=NONIND_0299); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00003,Filter coffee,Filter coffee,Beverages,portion,100,100,100,0.9,30.0,Proxy GI anchor: milk from International GI Tables (Atkinson 2008).,0.8,0.8,0.8,Low,0.43,2.67,Per-100g values proxy-mapped to validated source item 'Cold Coffee' (food_id=WEST_IN_0263); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=300g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00004,Ginger tea,Ginger tea,Beverages,portion,100,100,100,0.9,65.0,Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008).,4.55,4.55,4.55,Low,0.43,7.0,Per-100g values proxy-mapped to validated source item 'Iced Tea' (food_id=WEST_IN_0265); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00005,Jaljeera,Jaljeera,Beverages,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00006,Masala chai,Masala chai,Beverages,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00007,Salted lassi,Salted lassi,Beverages,portion,100,100,100,0.9,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #491",3.73,3.73,3.73,Low,0.45,18.67,Per-100g values proxy-mapped to validated source item 'Barley Pot Boiled in Salted Water' (food_id=T1_0491); mapping_score=0.14; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00008,Soft drink (cola),Soft drink (cola),Beverages,portion,100,100,100,0.9,62.0,Henry et al. GI tables (non-Indian cohort),3.14,3.14,3.14,Low,0.45,5.07,Per-100g values proxy-mapped to validated source item 'Barley Drink' (food_id=NONIND_0018); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00009,Sugarcane juice,Sugarcane juice,Beverages,portion,100,100,100,0.9,61.0,Henry et al. GI tables (non-Indian cohort),2.93,2.93,2.93,Low,0.45,4.8,Per-100g values proxy-mapped to validated source item 'Yacon Juice' (food_id=NONIND_0277); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00010,Sweet lassi,Sweet lassi,Beverages,portion,100,100,100,0.9,55.0,Henry et al. GI tables (non-Indian cohort),7.33,7.33,7.33,Low,0.45,13.33,Per-100g values proxy-mapped to validated source item 'Sweet Corn' (food_id=NONIND_0415); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00011,Thandai,Thandai,Beverages,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00012,Butter toast,Butter toast,Breads & flatbreads,portion,100,100,100,0.9,64.7,Henry et al. GI tables (non-Indian cohort),21.59,21.59,21.59,High,0.45,33.38,Per-100g values proxy-mapped to validated source item 'Butter Cake' (food_id=NONIND_0692); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00013,Cheese toast,Cheese toast,Breads & flatbreads,portion,100,100,100,0.9,95.0,Henry et al. GI tables (non-Indian cohort),60.93,60.93,60.93,High,0.45,64.13,Per-100g values proxy-mapped to validated source item 'Cheese Bun' (food_id=NONIND_0008); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00014,Egg toast,Egg toast,Breads & flatbreads,portion,100,100,100,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,10.26,10.26,10.26,Medium,0.41,14.44,Per-100g values proxy-mapped to validated source item 'Burger Egg' (food_id=WEST_IN_0114); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
INDWEBX_00015,Garlic toast,Garlic toast,Breads & flatbreads,portion,100,100,100,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,29.29,29.29,High,0.41,41.25,Per-100g values proxy-mapped to validated source item 'Garlic Bread' (food_id=WEST_IN_0133); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
