food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
INDWEBX_00001,Aam panna,Aam panna,Beverages,portion,100,100,100,0.9,28.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #861",1.12,1.12,1.12,Low,0.5,4.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Raspberry' (food_id=T1_0861); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00002,Coconut water,Coconut water,Beverages,portion,100,100,100,0.9,42.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,3.78,3.78,Low,0.5,9.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00003,Filter coffee,Filter coffee,Beverages,portion,100,100,100,0.9,42.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,3.78,3.78,Low,0.5,9.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00004,Ginger tea,Ginger tea,Beverages,portion,100,100,100,0.9,74.0,Henry et al. GI tables (non-Indian cohort),4.93,4.93,4.93,Low,0.5,6.67,Class=beverage. Proxy-mapped to validated source 'Icelemon Tea' (food_id=NONIND_0017); score=0.33; tier=low. Converted from source serving_size_g=150g.
INDWEBX_00005,Jaljeera,Jaljeera,Beverages,portion,100,100,100,0.9,36.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,1.56,1.56,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00006,Masala chai,Masala chai,Beverages,portion,100,100,100,0.9,36.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,1.56,1.56,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00007,Salted lassi,Salted lassi,Beverages,portion,100,100,100,0.9,11.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #859",0.48,0.48,0.48,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Apricot' (food_id=T1_0859); score=0.00; tier=prototype. Converted from source serving_size_g=150g.
INDWEBX_00008,Soft drink (cola),Soft drink (cola),Beverages,portion,100,100,100,0.9,65.0,Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008).,2.07,2.07,2.07,Low,0.66,3.18,Class=beverage. Proxy-mapped to validated source 'Soft Drink' (food_id=WEST_IN_0272); score=0.67; tier=high. Converted from source serving_size_g=330g.
INDWEBX_00009,Sugarcane juice,Sugarcane juice,Beverages,portion,100,100,100,0.9,61.0,Henry et al. GI tables (non-Indian cohort),2.93,2.93,2.93,Low,0.5,4.8,Class=beverage. Proxy-mapped to validated source 'Yacon Juice' (food_id=NONIND_0277); score=0.33; tier=low. Converted from source serving_size_g=250g.
INDWEBX_00010,Sweet lassi,Sweet lassi,Beverages,portion,100,100,100,0.9,32.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #865",1.04,1.04,1.04,Low,0.5,3.25,Class=beverage. Proxy-mapped to validated source 'Yoghurt Tropical Fruit Mango' (food_id=T1_0865); score=0.00; tier=prototype. Converted from source serving_size_g=200g.
