food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,portion_serving_key,gi,gl_median,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max
INDWEBX_00001,Aam panna,Aam panna,Beverages,Glass (standard),200,200,200,0.9,28.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #861",1.12,2.24,2.24,Low,0.5,4.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Raspberry' (food_id=T1_0861); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,glass_200ml,28.0,2.24,4.0,1.12,1.12,1.12,100.0,8.0,8.0,8.0
INDWEBX_00002,Coconut water,Coconut water,Beverages,Glass (standard),200,200,200,0.9,42.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,7.56,7.56,Low,0.5,9.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,glass_200ml,42.0,7.56,9.0,3.78,3.78,3.78,100.0,18.0,18.0,18.0
INDWEBX_00003,Filter coffee,Filter coffee,Beverages,Cup / katori (standard),200,200,200,0.9,42.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,7.56,7.56,Low,0.5,9.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,cup_200ml,42.0,7.56,9.0,3.78,3.78,3.78,100.0,18.0,18.0,18.0
INDWEBX_00004,Ginger tea,Ginger tea,Beverages,Cup / katori (standard),200,200,200,0.9,74.0,Henry et al. GI tables (non-Indian cohort),4.93,9.88,9.88,Low,0.5,6.67,Class=beverage. Proxy-mapped to validated source 'Icelemon Tea' (food_id=NONIND_0017); score=0.33; tier=low. Converted from source serving_size_g=150g.,cup_200ml,74.0,9.88,6.67,4.94,4.94,4.94,100.0,13.34,13.34,13.34
INDWEBX_00005,Jaljeera,Jaljeera,Beverages,Glass (standard),200,200,200,0.9,36.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,3.12,3.12,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,glass_200ml,36.0,3.12,4.33,1.56,1.56,1.56,100.0,8.66,8.66,8.66
INDWEBX_00006,Masala chai,Masala chai,Beverages,Cup / katori (standard),200,200,200,0.9,36.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,3.12,3.12,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,cup_200ml,36.0,3.12,4.33,1.56,1.56,1.56,100.0,8.66,8.66,8.66
INDWEBX_00007,Salted lassi,Salted lassi,Beverages,Glass (standard),200,200,200,0.9,11.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #859",0.48,0.96,0.96,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Apricot' (food_id=T1_0859); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,glass_200ml,11.0,0.96,4.33,0.48,0.48,0.48,100.0,8.66,8.66,8.66
INDWEBX_00008,Soft drink (cola),Soft drink (cola),Beverages,Glass (standard),200,200,200,0.9,65.0,Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008).,2.07,4.14,4.14,Low,0.66,3.18,Class=beverage. Proxy-mapped to validated source 'Soft Drink' (food_id=WEST_IN_0272); score=0.67; tier=high. Converted from source serving_size_g=330g.,glass_200ml,65.0,4.14,3.18,2.07,2.07,2.07,100.0,6.36,6.36,6.36
INDWEBX_00009,Sugarcane juice,Sugarcane juice,Beverages,Glass (standard),200,200,200,0.9,61.0,Henry et al. GI tables (non-Indian cohort),2.93,5.86,5.86,Low,0.5,4.8,Class=beverage. Proxy-mapped to validated source 'Yacon Juice' (food_id=NONIND_0277); score=0.33; tier=low. Converted from source serving_size_g=250g.,glass_200ml,61.0,5.86,4.8,2.93,2.93,2.93,100.0,9.6,9.6,9.6
INDWEBX_00010,Sweet lassi,Sweet lassi,Beverages,Glass (standard),200,200,200,0.9,32.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #865",1.04,2.08,2.08,Low,0.5,3.25,Class=beverage. Proxy-mapped to validated source 'Yoghurt Tropical Fruit Mango' (food_id=T1_0865); score=0.00; tier=prototype. Converted from source serving_size_g=200g.,glass_200ml,32.0,2.08,3.25,1.04,1.04,1.04,100.0,6.5,6.5,6.5
INDWEBX_00011,Thandai,Thandai,Beverages,Glass (standard),200,200,200,0.9,28.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #861",1.12,2.24,2.24,Low,0.5,4.0,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Raspberry' (food_id=T1_0861); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,glass_200ml,28.0,2.24,4.0,1.12,1.12,1.12,100.0,8.0,8.0,8.0
INDWEBX_00012,Butter toast,Butter toast,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,44.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",36.67,7.33,11.73,Low,0.5,83.33,Class=bread. Proxy-mapped to validated source 'Chapati Wheat Flour Thin with Green Gram' (food_id=T1_1785); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,toast_slice_wholewheat_25g,44.0,9.17,83.33,36.67,36.67,36.67,100.0,20.83,16.67,26.67
