food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
T3_0075,Akki roti (rice roti),Breads & flatbreads,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,19.6,12.94,26.26,High,0.66,100,28.0,Rice flour roti; recipe-based.
IND_HENRY2021_703,Alkali-treatedmaize (with wholebengal gram),Other,69.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",13.8,12.42,15.18,Medium,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.
T3_0109,Aloo chaat,Snacks,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,14.4,8.93,19.87,Medium,0.62,100,18.0,Potato; recipe-based.
T3_0009,Aloo gobi,Mixed meals,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,9.0,6.3,11.7,Low,0.7,100,12.0,Potato-forward sabzi; higher GI component.
T3_0010,Aloo matar,Mixed meals,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,9.8,6.86,12.74,Low,0.7,100,14.0,Potato + peas; recipe-based.
T2_0044,Aloo paratha,Breads & flatbreads,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.5,18.0,27.0,High,0.8,100,30.0,Stuffing changes density; recipe-based.
T3_0027,Aloo paratha (with curd),Mixed meals,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,15.6,10.3,20.9,Medium,0.66,100,24.0,Stuffed bread; curd may lower response.
T3_0148,Aloo puri,Mixed meals,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,24.0,14.4,33.6,High,0.6,100,30.0,Fried bread + potato; recipe-based.
T3_0093,Aloo tikki,Snacks,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,16.0,10.24,21.76,Medium,0.64,100,20.0,Potato patty; recipe-based.
IND_HENRY2021_694,Appam,Other,59.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23).",24.6,22.63,26.57,High,0.92,100,41.0,Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.
T2_0069,Appam (plain),Mixed meals,72.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,15.84,12.99,18.69,Medium,0.82,100,22.0,Fermented rice batter; estimate.
T3_0058,Appam + veg stew,Mixed meals,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,11.7,7.72,15.68,Medium,0.66,100,18.0,Appam + coconut stew; recipe-based.
IND_HENRY2021_614,Apple,Fruits,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",6.0,5.52,6.48,Low,0.92,100,13.3,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0368,Apple,Non-Indian reference food,33.5,Henry et al. GI tables (non-Indian cohort),16.8,14.78,18.82,Medium,0.88,100,50.0,Original country: Korea. Renamed generically for Indian audience.
NONIND_0290,"Apple,red",Non-Indian reference food,42.0,Henry et al. GI tables (non-Indian cohort),5.8,5.1,6.5,Low,0.88,100,13.8,Original country: Philippines. Renamed generically for Indian audience.
T3_0011,Baingan bharta,Mixed meals,20.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,1.2,0.9,1.5,Low,0.75,100,6.0,Roasted eggplant; low carbs.
T1_1774,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",33.33,30.66,36.0,High,0.92,100,66.67,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.
T2_0006,Bajra bhakri,Breads & flatbreads,56.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.8,14.11,19.49,Medium,0.84,100,30.0,Thicker roti; estimated.
T2_0019,Bajra dosa (plain),Mixed meals,73.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,14.6,11.97,17.23,Medium,0.82,100,20.0,Batter-based; estimated.
T2_0022,Bajra idli (plain),Mixed meals,74.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,13.32,10.92,15.72,Medium,0.82,100,18.0,Steamed batter item; estimated.
T2_0028,Bajra khichdi (bajra + moong),Mixed meals,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.9,7.82,11.98,Low,0.79,100,18.0,Weighted GI; recipe-based.
T2_0039,Bajra porridge (sweetened),Grains & staples,72.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,10.08,7.86,12.3,Medium,0.78,100,14.0,Sweetened porridge; estimate.
T2_0015,Bajra porridge (unsweetened),Grains & staples,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.6,5.48,7.72,Low,0.83,100,12.0,Diluted porridge; GL lower per 100g.
T2_0032,Bajra puttu (plain),Mixed meals,63.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.38,13.1,19.66,Medium,0.8,100,26.0,Steamed bajra preparation.
T2_0003,Bajra roti (pearl millet roti),Breads & flatbreads,54.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,15.66,13.31,18.01,Medium,0.85,100,29.0,Millet roti; GL estimated using cooked roti carb density.
T3_0078,Bajra roti + curry,Mixed meals,56.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,10.08,6.65,13.51,Medium,0.66,100,18.0,Roti + curry; weighted.
T4_0119,Bakery bread (sweet),Breads & flatbreads,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,33.75,17.55,49.95,High,0.52,100,45.0,Sweetened bread.
T4_0120,Bakery cake (assorted),Sweets & desserts,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,36.0,18.0,54.0,High,0.5,100,45.0,Highly variable.
T4_0121,Bakery cookies,Sweets & desserts,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,37.5,18.75,56.25,High,0.5,100,50.0,Refined flour + sugar.
IND_HENRY2021_648,Banana (Chenkadali),Pulses & legumes,82.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",32.9,30.27,35.53,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_645,Banana (Nendran),Fruits,87.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",34.9,32.11,37.69,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_649,Banana (Njalipoovan),Fruits,96.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",38.4,35.33,41.47,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_647,Banana (Poovan),Fruits,83.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",33.3,30.64,35.96,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_646,Banana (Robusta),Fruits,81.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",32.6,29.99,35.21,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_605,Banana (yallakki),Fruits,43.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",9.0,8.28,9.72,Low,0.92,100,20.8,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0613,Banana(Gros Michel),Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),12.4,10.91,13.89,Medium,0.88,100,18.5,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0063,Banana(Musaparadisiaca),Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),13.0,11.44,14.56,Medium,0.88,100,23.7,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0151,Banana(Musaparadisiacafa.Typical),Non-Indian reference food,92.0,Henry et al. GI tables (non-Indian cohort),20.2,17.78,22.62,High,0.88,100,22.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0612,Banana(Mysore),Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),13.9,12.23,15.57,Medium,0.88,100,22.7,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0614,Banana(Pisang Awak),Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),15.7,13.82,17.58,Medium,0.88,100,22.7,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0611,Banana(Silk),Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),16.1,14.17,18.03,Medium,0.88,100,26.3,Original country: SriLanka. Renamed generically for Indian audience.
T1_1775,"Banana, (Musa sapientum), Nendra variety",Fruits,70.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",25.83,23.76,27.9,High,0.92,100,37.5,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.
NONIND_0281,"Banana,Lakatan",Non-Indian reference food,62.0,Henry et al. GI tables (non-Indian cohort),17.2,15.14,19.26,Medium,0.88,100,27.8,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0282,"Banana,Saba",Non-Indian reference food,53.0,Henry et al. GI tables (non-Indian cohort),16.5,14.52,18.48,Medium,0.88,100,31.1,Original country: Philippines. Renamed generically for Indian audience.
T3_0126,Barfi (milk),Sweets & desserts,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,28.0,16.24,39.76,High,0.58,100,35.0,Milk fudge; recipe-based.
T1_1776,Barley (Hordeum vulgare),Grains & staples,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",10.67,9.82,11.52,Medium,0.92,100,24.67,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.
T1_0495,Barley (Hordeum vulgare) (India),Grains & staples,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #495",13.33,12.26,14.4,Medium,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 20.
T1_0119,"Barley bread, 70% high-amylose barley flour & 30%",Grains & staples,70.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #119",30.0,27.6,32.4,High,0.92,100,43.33,Normalized to 100g from table serving 30g with 13g available carbs and GL 9.
T1_0118,"Barley bread, 70% high-amylose barley flour and",Grains & staples,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #118",20.0,18.4,21.6,High,0.92,100,40.0,Normalized to 100g from table serving 30g with 12g available carbs and GL 6.
T1_0115,"Barley flour bread, made from 50% wheat flour and",Grains & staples,74.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #115",40.0,36.8,43.2,High,0.92,100,53.33,Normalized to 100g from table serving 30g with 16g available carbs and GL 12.
T1_0306,"Barley flour porridge, made from milled dehulled barley",Grains & staples,46.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #306",30.0,27.6,32.4,High,0.92,100,64.0,Normalized to 100g from table serving 50g with 32g available carbs and GL 15.
T1_0307,"Barley flour porridge, made from milled high-amylose",Grains & staples,39.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #307",22.0,20.24,23.76,High,0.92,100,56.0,Normalized to 100g from table serving 50g with 28g available carbs and GL 11.
T1_0489,"Barley kernels, boiled in water for",Grains & staples,25.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #489",6.67,6.14,7.2,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 10.
