food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
NONIND_0398,Acorn Jelly,Acornjelly,Non-Indian reference food,portion,100,100,100,0.5,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.88,9.2,Original country: Korea. Renamed generically for Indian audience.
NONIND_0083,Adanhalus,Adanhalus,Non-Indian reference food,portion,100,100,100,0.5,72.1,Henry et al. GI tables (non-Indian cohort),48.07,48.07,48.07,High,0.88,66.66666666666666,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0480,Adlay,Adlay,Non-Indian reference food,portion,100,100,100,0.5,55.0,Henry et al. GI tables (non-Indian cohort),7.33,7.33,7.33,Low,0.88,13.333333333333334,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0632,Aeglemarmelos,Aeglemarmelos(Beli),Non-Indian reference food,portion,100,100,100,0.5,50.0,Henry et al. GI tables (non-Indian cohort),13.33,13.33,13.33,Medium,0.88,26.666666666666668,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0639,Aervalanata,Aervalanata(Polpala),Non-Indian reference food,portion,100,100,100,0.5,32.0,Henry et al. GI tables (non-Indian cohort),8.53,8.53,8.53,Low,0.88,26.666666666666668,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0774,Ajwah,Ajwah,Non-Indian reference food,portion,100,100,100,0.5,55.9,Henry et al. GI tables (non-Indian cohort),26.57,26.57,26.57,High,0.88,47.53333333333333,Original country: SaudiArabia. Renamed generically for Indian audience.
T3_0075,Akki Roti,Akki roti (rice roti),Breads & flatbreads,portion,100,100,100,0.8,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,65.33,65.33,65.33,High,0.66,93.33333333333333,Rice flour roti; recipe-based.
IND_HENRY2021_703,Alkali Treatedmaize,Alkali-treatedmaize (with wholebengal gram),Other,portion,100,100,100,0.5,69.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",9.2,9.2,9.2,Low,0.9,13.333333333333334,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.
NONIND_0397,All Bran,"All-Bran(Kellogg’Sinc.,Southkorea)",Non-Indian reference food,portion,100,100,100,0.5,51.4,Henry et al. GI tables (non-Indian cohort),29.81,29.81,29.81,High,0.88,57.99999999999999,Original country: Korea. Renamed generically for Indian audience.
T3_0109,Aloo Chaat,Aloo chaat,Snacks,portion,100,100,100,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,57.6,57.6,57.6,High,0.62,72.0,Potato; recipe-based.
T3_0009,Aloo Gobi,Aloo gobi,Mixed meals,portion,100,100,100,0.5,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.0,6.3,6.0,Low,0.7,8.0,Potato-forward sabzi; higher GI component.
T3_0010,Aloo Matar,Aloo matar,Mixed meals,portion,100,100,100,0.5,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.53,6.86,6.53,Low,0.7,9.333333333333334,Potato + peas; recipe-based.
T2_0044,Aloo Paratha,Aloo paratha,Breads & flatbreads,portion,100,100,100,0.75,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,28.12,28.12,27.0,High,0.8,37.5,Stuffing changes density; recipe-based.
T3_0148,Aloo Puri,Aloo puri,Mixed meals,portion,100,100,100,0.7,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,80.0,80.0,80.0,High,0.6,100.0,Fried bread + potato; recipe-based.
T3_0093,Aloo Tikki,Aloo tikki,Snacks,portion,100,100,100,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,64.0,64.0,64.0,High,0.64,80.0,Potato patty; recipe-based.
IND_HENRY2021_694,Appam,Appam,Other,portion,100,100,100,0.5,59.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23).",16.37,16.37,16.37,Medium,0.92,27.333333333333332,Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.
T3_0058,Appam with Veg Stew,Appam + veg stew,Mixed meals,portion,100,100,100,0.5,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,7.72,7.8,Low,0.66,12.0,Appam + coconut stew; recipe-based.
IND_HENRY2021_614,Apple,Apple,Fruits,portion,100,100,100,0.8,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",3.99,3.99,3.99,Low,0.92,8.866666666666667,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
WEST_IN_0235,Apple Pie,Apple Pie,Western foods (India) - Desserts,portion,100,100,100,0.8,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,21.86,21.86,21.86,High,0.68,32.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
NONIND_0290,Apple Red,"Apple,Red",Non-Indian reference food,portion,100,100,100,0.8,42.0,Henry et al. GI tables (non-Indian cohort),3.86,5.2,3.86,Low,0.88,9.2,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0728,Arabic Bread,Arabicbread,Non-Indian reference food,portion,100,100,100,0.9,67.0,Henry et al. GI tables (non-Indian cohort),67.0,67.0,67.0,High,0.88,100.0,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0201,Arenga Starch Cake,Arenga(Arengapinata)Starchcake,Non-Indian reference food,portion,100,100,100,0.75,77.7,Henry et al. GI tables (non-Indian cohort),77.7,77.7,77.7,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0203,Arenga Starch Cookie,Arenga(Arengapinata)Starchcookie,Non-Indian reference food,portion,100,100,100,0.75,47.3,Henry et al. GI tables (non-Indian cohort),47.3,47.3,47.3,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0158,Arrowroot,Arrowroot(Marantaarundinacealinn.,Non-Indian reference food,portion,100,100,100,0.5,14.0,Henry et al. GI tables (non-Indian cohort),1.2,1.0,1.3,Low,0.88,5.533333333333334,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0168,Arrowrootoyek,Arrowrootoyek,Non-Indian reference food,portion,100,100,100,0.5,41.0,Henry et al. GI tables (non-Indian cohort),20.72,20.72,20.72,High,0.88,50.53333333333333,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0171,Arrowroottiwul,Arrowroottiwul(Garut),Non-Indian reference food,portion,100,100,100,0.5,40.0,Henry et al. GI tables (non-Indian cohort),19.44,19.44,19.44,Medium,0.88,48.6,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0740,Arseyah,Arseyah,Non-Indian reference food,portion,100,100,100,0.5,72.0,Henry et al. GI tables (non-Indian cohort),4.75,4.75,4.75,Low,0.88,6.6000000000000005,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0585,Atta Flour Roti,Attaflourroti,Non-Indian reference food,portion,100,100,100,0.8,67.0,Henry et al. GI tables (non-Indian cohort),67.0,67.0,67.0,High,0.88,100.0,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0610,Attarotimeal with Accompaniments,Attarotimeal+Accompaniments,Non-Indian reference food,portion,100,100,100,0.5,88.0,Henry et al. GI tables (non-Indian cohort),9.86,9.86,9.86,Low,0.88,11.200000000000001,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0298,Avocado,Avocado,Non-Indian reference food,portion,100,100,100,0.5,31.0,Henry et al. GI tables (non-Indian cohort),1.82,2.4,3.0,Low,0.88,5.866666666666667,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0393,Bagel,Bagel,Non-Indian reference food,portion,100,100,100,0.5,77.4,Henry et al. GI tables (non-Indian cohort),24.77,24.77,24.77,High,0.88,32.0,Original country: Korea. Renamed generically for Indian audience.
T3_0011,Baingan Bharta,Baingan bharta,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.75,4.0,"Roasted eggplant; low carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T2_0012,Bajra,Pearl millet (cooked),Grains & staples,portion,100,100,100,0.55,58.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.89,8.89,8.89,Low,0.85,15.333333333333332,Cooked bajra grain.
T2_0006,Bajra Bhakri,Bajra bhakri,Breads & flatbreads,portion,100,100,100,0.5,56.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.2,11.2,11.2,Medium,0.84,20.0,Thicker roti; estimated.
T2_0019,Bajra Dosa,Bajra dosa (plain),Mixed meals,portion,100,100,100,0.75,73.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,12.17,11.97,12.17,Medium,0.82,16.666666666666664,Batter-based; estimated.
T1_1774,Bajra Eaten As,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,portion,100,100,100,0.55,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",21.78,21.78,21.78,High,0.92,44.446666666666665,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.
T2_0022,Bajra Idli,Bajra idli (plain),Mixed meals,portion,100,100,100,0.8,74.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,26.64,26.64,26.64,High,0.82,36.0,Steamed batter item; estimated.
T2_0028,Bajra Khichdi,Bajra khichdi (bajra + moong),Mixed meals,portion,100,100,100,0.75,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,5.5,5.5,5.5,Low,0.79,10.0,Weighted GI; recipe-based.
T2_0015,Bajra Porridge,Bajra porridge (unsweetened),Grains & staples,portion,100,100,100,0.55,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.4,5.48,4.4,Low,0.83,8.0,Diluted porridge; GL lower per 100g.
T2_0032,Bajra Puttu,Bajra puttu (plain),Mixed meals,portion,100,100,100,0.5,63.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,10.92,10.92,10.92,Medium,0.8,17.333333333333336,Steamed bajra preparation.
T2_0003,Bajra Roti,Bajra roti (pearl millet roti),Breads & flatbreads,portion,100,100,100,0.8,54.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,52.2,52.2,52.2,High,0.85,96.66666666666667,Millet roti; GL estimated using cooked roti carb density.
T3_0078,Bajra Roti with Curry,Bajra roti + curry,Mixed meals,portion,100,100,100,0.8,56.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,33.6,33.6,33.6,High,0.66,60.0,Roti + curry; weighted.
NONIND_0515,Baked Barbecuedporkpuff,Bakedbarbecuedporkpuff,Non-Indian reference food,portion,100,100,100,0.5,55.0,Henry et al. GI tables (non-Indian cohort),11.4,11.4,11.4,Medium,0.88,20.733333333333334,Original country: Hong. Renamed generically for Indian audience.
NONIND_0404,Baked Chestnuts,Bakedchestnuts,Non-Indian reference food,portion,100,100,100,0.5,54.3,Henry et al. GI tables (non-Indian cohort),13.43,13.43,13.43,Medium,0.88,24.733333333333334,Original country: Korea. Renamed generically for Indian audience.
NONIND_0402,Baked Sweet Potato Es,Bakedsweetpotatoes,Non-Indian reference food,portion,100,100,100,0.5,90.9,Henry et al. GI tables (non-Indian cohort),18.91,18.91,18.91,Medium,0.88,20.8,Original country: Korea. Renamed generically for Indian audience.
T4_0119,Bakery Bread,Bakery bread (sweet),Breads & flatbreads,portion,100,100,100,0.9,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75.0,75.0,75.0,High,0.52,100.0,Sweetened bread.
T4_0120,Bakery Cake,Bakery cake (assorted),Sweets & desserts,portion,100,100,100,0.75,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,45.0,45.0,45.0,High,0.5,56.25,Highly variable.
T4_0121,Bakery Cookie,Bakery cookies,Sweets & desserts,portion,100,100,100,0.75,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75.0,75.0,75.0,High,0.5,100.0,Refined flour + sugar.
NONIND_0745,Balalet,Balalet,Non-Indian reference food,portion,100,100,100,0.5,63.0,Henry et al. GI tables (non-Indian cohort),11.72,11.72,11.72,Medium,0.88,18.6,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_605,Banana,Banana (yallakki),Fruits,portion,100,100,100,0.85,43.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",7.45,8.28,7.45,Low,0.92,17.333333333333336,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0281,Banana Lakatan,"Banana,Lakatan",Non-Indian reference food,portion,100,100,100,0.85,62.0,Henry et al. GI tables (non-Indian cohort),14.36,15.5,14.36,Medium,0.88,23.166666666666664,Original country: Philippines. Renamed generically for Indian audience.
T1_1775,Banana Nendra Variety,"Banana, (Musa sapientum), Nendra variety",Fruits,portion,100,100,100,0.85,70.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",21.88,21.88,21.88,High,0.92,31.25,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.
NONIND_0282,Banana Saba,"Banana,Saba",Non-Indian reference food,portion,100,100,100,0.85,53.0,Henry et al. GI tables (non-Indian cohort),13.74,14.8,13.74,Medium,0.88,25.916666666666664,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0528,Barbecuepork Bun,Barbecueporkbun,Non-Indian reference food,portion,100,100,100,0.5,69.0,Henry et al. GI tables (non-Indian cohort),19.32,19.32,19.32,Medium,0.88,28.000000000000004,Original country: Hong. Renamed generically for Indian audience.
T3_0126,Barfi,Barfi (milk),Sweets & desserts,portion,100,100,100,0.55,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,40.0,40.0,39.76,High,0.58,50.0,Milk fudge; recipe-based.
NONIND_0081,Bariocelum Rice,Bariocelumrice,Non-Indian reference food,portion,100,100,100,0.85,60.9,Henry et al. GI tables (non-Indian cohort),40.6,40.6,40.6,High,0.88,66.66666666666666,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0082,Bariotuan Rice,Bariotuanrice,Non-Indian reference food,portion,100,100,100,0.85,62.2,Henry et al. GI tables (non-Indian cohort),41.47,41.47,41.47,High,0.88,66.66666666666666,Original country: Malaysia. Renamed generically for Indian audience.
T1_1776,Barley,Barley (Hordeum vulgare),Grains & staples,portion,100,100,100,0.55,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",7.89,7.89,7.89,Low,0.92,16.44666666666667,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.
T1_0118,Barley Bread High Amylose Barley Flour and,"Barley bread, 70% high-amylose barley flour and",Grains & staples,portion,100,100,100,0.9,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #118",49.0,49.0,49.0,High,0.92,100.0,Normalized to 100g from table serving 30g with 12g available carbs and GL 6.
NONIND_0018,Barley Drink,Barleydrink,Non-Indian reference food,portion,100,100,100,0.5,62.0,Henry et al. GI tables (non-Indian cohort),3.14,4.2,3.14,Low,0.88,5.066666666666666,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0037,Barley Flour Muffin,Barleyflourmuffin,Non-Indian reference food,portion,100,100,100,0.5,55.4,Henry et al. GI tables (non-Indian cohort),13.22,13.22,13.22,Medium,0.88,23.866666666666664,Original country: Singapore. Renamed generically for Indian audience.
T1_0306,Barley Flour Porridge Made from Milled Dehulled Barley,"Barley flour porridge, made from milled dehulled barley",Grains & staples,portion,100,100,100,0.55,46.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #306",19.63,19.63,19.63,Medium,0.92,42.66666666666667,Normalized to 100g from table serving 50g with 32g available carbs and GL 15.
T1_0307,Barley Flour Porridge Made from Milled High Amylose,"Barley flour porridge, made from milled high-amylose",Grains & staples,portion,100,100,100,0.55,39.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #307",14.56,14.56,14.56,Medium,0.92,37.333333333333336,Normalized to 100g from table serving 50g with 28g available carbs and GL 11.
T1_0489,Barley Kernels Boiled in Water for,"Barley kernels, boiled in water for",Grains & staples,portion,100,100,100,0.55,25.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #489",4.67,6.14,4.67,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 10.
T1_0487,Barley Kernels High Amylose Boiled in,"Barley kernels, high-amylose (hull-less) boiled in",Grains & staples,portion,100,100,100,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #487",3.73,4.9,3.73,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 8.
T1_0488,Barley Kernels Waxy Boiled in Water,"Barley kernels, waxy (hull-less), boiled in water",Grains & staples,portion,100,100,100,0.55,22.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #488",4.11,5.52,4.11,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 9.
T1_0492,Barley Pearled Boiled,"Barley, pearled, boiled",Grains & staples,portion,100,100,100,0.55,60.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #492",11.2,11.2,10.8,Medium,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 15.
T1_0309,Barley Porridge Made from Steam Thick,Barley porridge made from steamed thick (1.0 mm),Grains & staples,portion,100,100,100,0.55,65.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #309",24.27,24.27,24.27,High,0.92,37.333333333333336,Normalized to 100g from table serving 50g with 28g available carbs and GL 18.
T1_0308,Barley Porridge Made from Steam Thin,Barley porridge made from steamed thin (0.5 mm),Grains & staples,portion,100,100,100,0.55,62.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #308",23.15,23.15,23.15,High,0.92,37.333333333333336,Normalized to 100g from table serving 50g with 28g available carbs and GL 17.
T1_0494,Barley Pot Boiled,"Barley, pot, boiled",Grains & staples,portion,100,100,100,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #494",3.73,3.73,3.73,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 16.
T1_0491,Barley Pot Boiled in Salted Water,"Barley, pot, boiled in salted water",Grains & staples,portion,100,100,100,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #491",3.73,3.73,3.73,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 11.
NONIND_0381,Barley Powder,Barleypowder,Non-Indian reference food,portion,100,100,100,0.5,69.8,Henry et al. GI tables (non-Indian cohort),34.71,34.71,34.71,High,0.88,49.73333333333333,Original country: Korea. Renamed generically for Indian audience.
T2_0010,Barnyard Millet,Barnyard millet (cooked),Grains & staples,portion,100,100,100,0.55,45.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.3,6.3,6.3,Low,0.86,14.000000000000002,Cooked millet grain.
NONIND_0096,Basmati,Basmati,Non-Indian reference food,portion,100,100,100,0.5,50.0,Henry et al. GI tables (non-Indian cohort),8.87,8.87,8.87,Low,0.88,17.733333333333334,Original country: Malaysia. Renamed generically for Indian audience.
T1_0563,Basmati Easy Cook Boiled,"Basmati, easy cook, boiled",Grains & staples,portion,100,100,100,0.55,9.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #563",1.68,1.68,1.68,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 28.
NONIND_0057,Basmati Rice,"Basmatirice(Dreamrice,Singapore)",Non-Indian reference food,portion,100,100,100,0.85,55.0,Henry et al. GI tables (non-Indian cohort),27.57,27.57,27.57,High,0.88,50.13333333333333,Original country: Singapore. Renamed generically for Indian audience.
T1_0558,Basmati White Boiled,"Basmati, white, boiled",Grains & staples,portion,100,100,100,0.55,12.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #558",1.49,1.49,1.49,Low,0.92,12.446666666666669,Normalized to 100g from table serving 150g with 28g available carbs and GL 15.
T3_0129,Basundi,Basundi,Sweets & desserts,portion,100,100,100,0.55,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.0,18.0,17.64,Medium,0.6,25.71428571428571,Sweetened milk; recipe-based.
NONIND_0743,Batheetha,Batheetha,Non-Indian reference food,portion,100,100,100,0.5,59.0,Henry et al. GI tables (non-Indian cohort),15.03,15.03,15.03,Medium,0.88,25.466666666666672,Original country: UnitedArab. Renamed generically for Indian audience.
T1_0625,Bebe Dobre Rano with Milk,"Bebe Dobre Rano with Milk (LU, Czech Republic)",Dairy,portion,100,100,100,0.9,50.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #625",14.4,14.4,14.4,Medium,0.92,28.799999999999997,Normalized to 100g from table serving 50g with 36g available carbs and GL 18.
