food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,gl_median_portion,gl_min_portion,gl_max_portion,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max
NONIND_0398,Acorn Jelly,Acornjelly,Non-Indian reference food,portion,105,150,195,0.5,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.88,9.2,Original country: Korea. Renamed generically for Indian audience.,9.2,6.6,6.6,6.6,100,portion_100g,6.6,6.6,6.6,9.2,9.2,9.2
NONIND_0083,Adanhalus,Adanhalus,Non-Indian reference food,portion,105,150,195,0.5,72.1,Henry et al. GI tables (non-Indian cohort),48.07,48.07,48.07,High,0.88,66.66666667,Original country: Malaysia. Renamed generically for Indian audience.,66.66666667,48.07,48.07,48.07,100,portion_100g,48.07,48.07,48.07,66.67,66.67,66.67
NONIND_0480,Adlay,Adlay,Non-Indian reference food,portion,105,150,195,0.5,55,Henry et al. GI tables (non-Indian cohort),7.33,7.33,7.33,Low,0.88,13.33333333,"Original country: Taiwan,China. Renamed generically for Indian audience.",13.33333333,7.33,7.33,7.33,100,portion_100g,7.33,7.33,7.33,13.33,13.33,13.33
NONIND_0632,Aeglemarmelos,Aeglemarmelos(Beli),Non-Indian reference food,portion,105,150,195,0.5,50,Henry et al. GI tables (non-Indian cohort),13.33,13.33,13.33,Medium,0.88,26.66666667,Original country: SriLanka. Renamed generically for Indian audience.,26.66666667,13.33,13.33,13.33,100,portion_100g,13.33,13.33,13.33,26.67,26.67,26.67
NONIND_0639,Aervalanata,Aervalanata(Polpala),Non-Indian reference food,portion,105,150,195,0.5,32,Henry et al. GI tables (non-Indian cohort),8.53,8.53,8.53,Low,0.88,26.66666667,Original country: SriLanka. Renamed generically for Indian audience.,26.66666667,8.53,8.53,8.53,100,portion_100g,8.53,8.53,8.53,26.67,26.67,26.67
NONIND_0774,Ajwah,Ajwah,Non-Indian reference food,portion,105,150,195,0.5,55.9,Henry et al. GI tables (non-Indian cohort),26.57,26.57,26.57,High,0.88,47.53333333,Original country: SaudiArabia. Renamed generically for Indian audience.,47.53333333,26.57,26.57,26.57,100,portion_100g,26.57,26.57,26.57,47.53,47.53,47.53
T3_0075,Akki Roti,Akki roti (rice roti),Breads & flatbreads,piece,22,30,38,0.8,70,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,35.93,28.09,44.42,High,0.66,93.33333333,Rice flour roti; recipe-based.,93.33333333,65.33,65.33,65.33,100,roti_chapati_piece_43_68g,35.93,28.09,44.42,51.33,40.13,63.47
IND_HENRY2021_703,Alkali Treatedmaize,Alkali-treatedmaize (with wholebengal gram),Other,portion,105,150,195,0.5,69,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 144; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",9.2,9.2,9.2,Low,0.9,13.33333333,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 0.66.,13.33333333,9.2,9.2,9.2,100,portion_100g,9.2,9.2,9.2,13.33,13.33,13.33
NONIND_0397,All Bran,"All-Bran(Kellogg’Sinc.,Southkorea)",Non-Indian reference food,portion,105,150,195,0.5,51.4,Henry et al. GI tables (non-Indian cohort),29.81,29.81,29.81,High,0.88,58,Original country: Korea. Renamed generically for Indian audience.,58,29.81,29.81,29.81,100,portion_100g,29.81,29.81,29.81,58,58,58
T3_0109,Aloo Chaat,Aloo chaat,Snacks,handful,15,25,35,0.5,80,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,57.6,57.6,57.6,High,0.62,72,Potato; recipe-based.,72,57.6,57.6,57.6,100,portion_100g,57.6,57.6,57.6,72,72,72
T3_0009,Aloo Gobi,Aloo gobi,Mixed meals,portion,105,150,195,0.5,75,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6,6,6,Low,0.7,8,Potato-forward sabzi; higher GI component.,8,6,6,6,100,portion_100g,6,6,6,8,8,8
T3_0010,Aloo Matar,Aloo matar,Mixed meals,portion,105,150,195,0.5,70,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.53,6.53,6.53,Low,0.7,9.333333333,Potato + peas; recipe-based.,9.333333333,6.53,6.53,6.53,100,portion_100g,6.53,6.53,6.53,9.33,9.33,9.33
T2_0044,Aloo Paratha,Aloo paratha,Breads & flatbreads,piece,60,80,100,0.75,75,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.21,18.28,26.71,High,0.8,37.5,Stuffing changes density; recipe-based.,37.5,28.12,28.12,28.12,100,paratha_piece_79g,22.21,18.28,26.71,29.62,24.38,35.62
T3_0148,Aloo Puri,Aloo puri,Mixed meals,piece,15,20,25,0.7,80,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,80,80,80,High,0.6,100,Fried bread + potato; recipe-based.,100,80,80,80,100,portion_100g,80,80,80,100,100,100
T3_0093,Aloo Tikki,Aloo tikki,Snacks,handful,15,25,35,0.5,80,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,64,64,64,High,0.64,80,Potato patty; recipe-based.,80,64,64,64,100,portion_100g,64,64,64,80,80,80
IND_HENRY2021_694,Appam,Appam,Other,portion,105,150,195,0.5,59.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23).",16.37,16.37,16.37,Medium,0.92,27.33333333,Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.,27.33333333,16.37,16.37,16.37,100,portion_100g,16.37,16.37,16.37,27.33,27.33,27.33
T3_0058,Appam with Veg Stew,Appam + veg stew,Mixed meals,portion,105,150,195,0.5,65,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,7.8,7.8,Low,0.66,12,Appam + coconut stew; recipe-based.,12,7.8,7.8,7.8,100,portion_100g,7.8,7.8,7.8,12,12,12
IND_HENRY2021_614,Apple,Apple,Fruits,piece,112,150,188,0.8,45,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",3.99,3.99,3.99,Low,0.92,8.866666667,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.,8.866666667,3.99,3.99,3.99,100,portion_100g,3.99,3.99,3.99,8.87,8.87,8.87
