food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
IND_HENRY2021_600,Biscuits (45% foxtailmillet + 55% refined,Grains & staples,50.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h wheatflour) participants; portion 90 g provides 50 g available carbs (table page 21).",28.2,25.4,31.0,High,0.9,100,55.6,Computed carbs per 100 g using study portion: 50 g available carbs in 90 g portion. GI SEM/SD reported: 27.9.
IND_HENRY2021_601,Biscuits (45% barnyardmillet + 55% refined,Grains & staples,68.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h wheatflour) participants; portion 96 g provides 50 g available carbs (table page 21).",35.4,31.9,39.0,High,0.9,100,52.1,Computed carbs per 100 g using study portion: 50 g available carbs in 96 g portion. GI SEM/SD reported: 60.3.
IND_HENRY2021_602,Biscuits (crude refined wheat flour),Grains & staples,68.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h participants; portion 90 g provides 50 g available carbs (table page 21).",37.8,34.8,40.8,High,0.92,100,55.6,Computed carbs per 100 g using study portion: 50 g available carbs in 90 g portion. GI SEM/SD reported: 52.8.
IND_HENRY2021_603,Papayabar (control),Fruits,65.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 116; n=15 Healthy; ref food/time: Glucose/2h participants; portion 64 g provides 50 g available carbs (table page 21).",50.8,46.7,54.8,High,0.92,100,78.1,Computed carbs per 100 g using study portion: 50 g available carbs in 64 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_604,Papayabar (treated with inulinand,Fruits,54.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 116; n=15 Healthy; ref food/time: Glucose/2h fructooligosaccharides) participants; portion 65 g provides 50 g available carbs (table page 21).",41.5,38.2,44.9,High,0.92,100,76.9,Computed carbs per 100 g using study portion: 50 g available carbs in 65 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_605,Banana (yallakki),Fruits,43.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",9.0,8.2,9.7,Low,0.92,100,20.8,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_606,Mango (Raspuri),Breads & fermented,35.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",7.3,6.7,7.9,Low,0.92,100,20.8,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_607,Papaya,Fruits,19.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",4.6,4.2,5.0,Low,0.92,100,24.2,Computed carbs per 100 g using study portion: 29 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_608,Orange,Fruits,52.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 10 g available carbs (table page 21).",4.3,4.0,4.7,Low,0.92,100,8.3,Computed carbs per 100 g using study portion: 10 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_609,Guava,Fruits,78.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 11.5 g available carbs (table page 21).",7.5,6.9,8.1,Low,0.92,100,9.6,Computed carbs per 100 g using study portion: 11.5 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_610,Chikku,Other,73.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",17.6,16.2,19.1,Medium,0.92,100,24.2,Computed carbs per 100 g using study portion: 29 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_611,Jackfruit,Fruits,63.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 28.8 g available carbs (table page 21).",15.1,13.9,16.3,Medium,0.92,100,24.0,Computed carbs per 100 g using study portion: 28.8 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_612,Watermelon,Fruits,37.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 6 g available carbs (table page 21).",1.9,1.7,2.0,Low,0.92,100,5.0,Computed carbs per 100 g using study portion: 6 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_613,Pineapple,Fruits,19.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 10 g available carbs (table page 21).",1.6,1.5,1.7,Low,0.92,100,8.3,Computed carbs per 100 g using study portion: 10 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_614,Apple,Fruits,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",6.0,5.5,6.5,Low,0.92,100,13.3,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_615,RoastedAmaranth,Other,84.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 117.5 g provides 50 g available carbs (table page 21).",36.1,32.5,39.7,High,0.9,100,42.6,Computed carbs per 100 g using study portion: 50 g available carbs in 117.5 g portion. GI SEM/SD reported: 50.
IND_HENRY2021_616,BoiledAmaranth,Other,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",47.4,42.6,52.1,High,0.9,100,42.4,Computed carbs per 100 g using study portion: 50 g available carbs in 118 g portion. GI SEM/SD reported: 75.
IND_HENRY2021_617,PoppedAmaranth,Other,44.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 116.34 g provides 50 g available carbs (table page 21).",18.9,17.0,20.8,Medium,0.9,100,43.0,Computed carbs per 100 g using study portion: 50 g available carbs in 116.34 g portion. GI SEM/SD reported: 25.08.
