food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0001,Malay-Stylefriedrice,Non-Indian reference food,99.0,Henry et al. GI tables (non-Indian cohort),13.1,11.8,14.4,Medium,0.88,100,13.3,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0002,Nasilemak,Non-Indian reference food,100.0,Henry et al. GI tables (non-Indian cohort),23.8,21.4,26.2,High,0.88,100,23.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0003,Meegoreng,Non-Indian reference food,91.0,Henry et al. GI tables (non-Indian cohort),14.7,13.3,16.2,Medium,0.88,100,16.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0004,Meesiam,Non-Indian reference food,88.0,Henry et al. GI tables (non-Indian cohort),6.7,6.0,7.4,Low,0.88,100,7.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0005,Loimaikai,Non-Indian reference food,94.0,Henry et al. GI tables (non-Indian cohort),31.5,28.4,34.7,High,0.88,100,33.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0006,Redbeanpau,Non-Indian reference food,91.0,Henry et al. GI tables (non-Indian cohort),67.9,61.1,74.7,High,0.88,100,74.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0007,Chickencurrypuff,Non-Indian reference food,92.0,Henry et al. GI tables (non-Indian cohort),64.8,58.3,71.3,High,0.88,100,70.4,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0008,Cheesebun,Non-Indian reference food,95.0,Henry et al. GI tables (non-Indian cohort),91.3,82.2,100.5,High,0.88,100,96.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0009,Whiterice,Non-Indian reference food,96.0,Henry et al. GI tables (non-Indian cohort),24.7,22.3,27.2,High,0.88,100,25.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0010,Whitericecookedwithoil,Non-Indian reference food,68.0,Henry et al. GI tables (non-Indian cohort),17.5,15.8,19.3,Medium,0.88,100,25.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0011,Whitericeservedwithchickenbreast,Non-Indian reference food,73.0,Henry et al. GI tables (non-Indian cohort),18.8,16.9,20.7,Medium,0.88,100,25.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0012,Whitericeservedwithleafvegetables,Non-Indian reference food,82.0,Henry et al. GI tables (non-Indian cohort),21.1,19.0,23.2,High,0.88,100,25.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0013,"Whitericecookedwithoil,Servedwithchicken",Non-Indian reference food,50.0,Henry et al. GI tables (non-Indian cohort),12.9,11.6,14.2,Medium,0.88,100,25.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0014,Jasminerice,Non-Indian reference food,91.2,Henry et al. GI tables (non-Indian cohort),71.7,64.5,78.9,High,0.88,100,78.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0015,Basmatirice,Non-Indian reference food,55.7,Henry et al. GI tables (non-Indian cohort),41.9,37.7,46.1,High,0.88,100,75.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0016,Icegreentea,Non-Indian reference food,50.0,Henry et al. GI tables (non-Indian cohort),3.0,2.7,3.3,Low,0.88,100,6.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0017,Icelemontea,Non-Indian reference food,74.0,Henry et al. GI tables (non-Indian cohort),7.4,6.7,8.1,Low,0.88,100,10.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0018,Barleydrink,Non-Indian reference food,62.0,Henry et al. GI tables (non-Indian cohort),4.7,4.2,5.2,Low,0.88,100,7.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0019,Chinesecarrotcake,Non-Indian reference food,77.0,Henry et al. GI tables (non-Indian cohort),12.1,10.9,13.4,Medium,0.88,100,15.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0020,Beehoon,Non-Indian reference food,35.0,Henry et al. GI tables (non-Indian cohort),28.3,25.4,31.1,High,0.88,100,80.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0021,Chineseyamcake,Non-Indian reference food,86.0,Henry et al. GI tables (non-Indian cohort),11.0,9.9,12.1,Medium,0.88,100,12.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0022,Pandanwaffle,Non-Indian reference food,46.0,Henry et al. GI tables (non-Indian cohort),15.5,14.0,17.1,Medium,0.88,100,33.7,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0023,Cheecheongfun,Non-Indian reference food,81.0,Henry et al. GI tables (non-Indian cohort),14.6,13.1,16.1,Medium,0.88,100,18.0,Original country: Singapore. Renamed generically for Indian audience.
