food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
GNS_001,White rice (boiled),Grains & staples,73,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): white rice, boiled (India)",16.0,14.4,17.6,Medium,0.92,150.0,23.0,Plain cooked white rice
GNS_002,Brown rice (boiled),Grains & staples,68,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): brown rice, boiled",16.0,14.4,17.6,Medium,0.92,150.0,24.0,"Brown rice, cooked"
GNS_003,Parboiled rice (boiled),Grains & staples,48,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): parboiled rice, boiled",18.0,16.2,19.8,Medium,0.92,150.0,37.0,Parboiled rice (ukda style)
GNS_004,Rice flakes (poha),Grains & staples,38,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): rice flakes (India)",12.0,10.8,13.2,Medium,0.92,30.0,32.0,Flattened rice (dry serving)
GNS_005,Rice porridge (kanji),Grains & staples,78,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): rice porridge",12.0,10.8,13.2,Medium,0.92,250.0,16.0,Rice porridge
GNS_006,Wheat chapati (roti),Breads & flatbreads,62,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): wheat chapati",17.0,15.3,18.7,Medium,0.92,60.0,27.0,Whole wheat chapati
GNS_007,Chapati (mixed wheat–moth bean),Breads & flatbreads,63,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): chapati made from malted wheat and moth bean flour (India)",,,,,0.92,,,GI reported; GL not available in source
PLS_001,Chana dal (boiled),Pulses & legumes,33,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): Bengal gram dal (India)",7.0,6.3,7.7,Low,0.92,150.0,21.0,Boiled chana dal
PLS_002,Rajma (boiled),Pulses & legumes,23,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): kidney beans, boiled",6.0,5.4,6.6,Low,0.9,150.0,25.0,Boiled rajma
PLS_003,Moong dal (boiled),Pulses & legumes,21,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): lentils/beans, boiled",4.0,3.6,4.4,Low,0.9,150.0,18.0,Boiled moong dal
VEG_001,Potato (boiled),Starchy vegetables,74,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): potato, boiled (India)",21.0,18.9,23.1,High,0.92,150.0,28.0,Boiled potato
VEG_002,Sweet potato (boiled),Starchy vegetables,61,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): sweet potato, boiled",11.0,9.9,12.1,Medium,0.92,150.0,18.0,Boiled sweet potato
FRT_001,Apple,Fruits,39,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): apple, raw",6.0,5.4,6.6,Low,0.92,120.0,16.0,Raw apple
FRT_002,Banana (ripe),Fruits,52,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): banana, raw",11.0,9.9,12.1,Medium,0.92,120.0,22.0,Raw ripe banana
FRT_003,Mango,Fruits,51,"Measured GI from International Tables of Glycemic Index (Atkinson et al., Diabetes Care 2008): mango, raw",8.0,7.2,8.8,Low,0.92,120.0,16.0,Raw mango
