food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
A1_0510,White Rice (Boiled),Grains & staples,43,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #510",10.67,9.6,11.73,Medium,0.92,100,25.33,Normalized from table serving 150g with 38g available carbs and GL 16.
A1_1782,Chapati (Malted Wheat + Moth Bean Atta),Breads & flatbreads,66,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #1782",41.67,37.5,45.83,High,0.92,100,63.33,Normalized from table serving 60g with 38g available carbs and GL 25.
A1_0495,Barley (Hordeum vulgare) (India),Grains & staples,48,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #495",13.33,12.0,14.66,Medium,0.92,100,28.0,Normalized from table serving 150g with 42g available carbs and GL 20.
A1_0499,Makki Roti (Maize Flour),Breads & flatbreads,59,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #499",26.67,24.0,29.34,High,0.92,100,43.33,Normalized from table serving 30g with 13g available carbs and GL 8.
A1_0541,"Moolgiri white rice (Tajmahal Agro Industries, India)",Grains & staples,54,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #541",11.33,10.2,12.46,Medium,0.92,100,21.33,Normalized from table serving 150g with 32g available carbs and GL 17.
A1_1103,Kidney beans (Phaseolus vulgaris) (India),Pulses & legumes,19,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #1103",3.33,3.0,3.66,Low,0.92,100,16.67,Normalized from table serving 150g with 25g available carbs and GL 5.
A1_1544,"Indian Lentil Instant soup, low-fat,",Pulses & legumes,62,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #1544",4.8,4.32,5.28,Low,0.92,100,8.0,Normalized from table serving 250g with 20g available carbs and GL 12.
A1_0306,"Barley flour porridge, made from milled dehulled barley",Grains & staples,46,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #306",30.0,27.0,33.0,High,0.92,100,64.0,Normalized from table serving 50g with 32g available carbs and GL 15.
A1_0307,"Barley flour porridge, made from milled high-amylose",Grains & staples,39,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #307",22.0,19.8,24.2,High,0.92,100,56.0,Normalized from table serving 50g with 28g available carbs and GL 11.
A1_0308,Barley porridge made from steamed thin (0.5 mm),Grains & staples,62,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #308",34.0,30.6,37.4,High,0.92,100,56.0,Normalized from table serving 50g with 28g available carbs and GL 17.
A1_0309,Barley porridge made from steamed thick (1.0 mm),Grains & staples,65,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #309",36.0,32.4,39.6,High,0.92,100,56.0,Normalized from table serving 50g with 28g available carbs and GL 18.
A1_0310,Wholemeal barley flour porridge (100% regular barley),Grains & staples,68,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #310",46.0,41.4,50.6,High,0.92,100,68.0,Normalized from table serving 50g with 34g available carbs and GL 23.
A1_0311,Wholemeal high-fiber barley flour porridge (50%,Grains & staples,55,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #311",16.0,14.4,17.6,Medium,0.92,100,30.0,Normalized from table serving 50g with 15g available carbs and GL 8.
A1_0389,Traditional porridge oats,Grains & staples,51,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #389",4.4,3.96,4.84,Low,0.92,100,8.4,Normalized from table serving 250g with 21g available carbs and GL 11.
A1_0401,"Wholemeal oat flour porridge (flour:water = 1:3),",Grains & staples,74,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #401",48.0,43.2,52.8,High,0.92,100,64.0,Normalized from table serving 50g with 32g available carbs and GL 24.
A1_0402,Oat porridge made from thick (1.0 mm),Grains & staples,55,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #402",6.0,5.4,6.6,Low,0.92,100,10.8,Normalized from table serving 250g with 27g available carbs and GL 15.
A1_0403,"Oat porridge made from 0.5-0.6 mm thick flakes,",Grains & staples,76,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #403",7.6,6.84,8.36,Low,0.92,100,10.0,Normalized from table serving 250g with 25g available carbs and GL 19.
A1_0404,Oat porridge made from roasted thin (0.5 mm),Grains & staples,69,"International GI/GL Tables (Atkinson et al., Diabetes Care 2008), Table A1, Food #404",7.6,6.84,8.36,Low,0.92,100,10.8,Normalized from table serving 250g with 27g available carbs and GL 19.
