food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
T1_1774,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,49,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",33.33,30.0,36.67,High,0.92,100,66.67,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.
T1_1779,"Chapati, bajra",Breads & flatbreads,49,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1779",91.43,82.29,100.57,High,0.92,100,25.71,Normalized to 100g from table serving 70g with 18g available carbs and GL 64.
T1_1780,"Chapati, barley",Breads & flatbreads,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1780",92.75,83.48,102.03,High,0.92,100,26.09,Normalized to 100g from table serving 69g with 18g available carbs and GL 64.
T1_1781,"Chapati, maize (Zea mays)",Breads & flatbreads,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1781",75.29,67.76,82.82,High,0.92,100,21.18,Normalized to 100g from table serving 85g with 18g available carbs and GL 64.
T1_1782,"Chapati, flour from malted wheat, moth bean",Breads & flatbreads,66,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1782",41.67,37.5,45.83,High,0.92,100,63.33,Normalized to 100g from table serving 60g with 38g available carbs and GL 25.
T1_1783,"Chapati, flour made from popped wheat, moth bean",Breads & flatbreads,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1783",23.33,21.0,25.67,High,0.92,100,60.0,Normalized to 100g from table serving 60g with 36g available carbs and GL 14.
T1_1784,"Chapati, flour from roller dried wheat, moth bean",Breads & flatbreads,60,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1784",38.33,34.5,42.17,High,0.92,100,63.33,Normalized to 100g from table serving 60g with 38g available carbs and GL 23.
T1_1785,"Chapati, wheat flour, thin, with green gram",Breads & flatbreads,44,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",11.0,9.9,12.1,Medium,0.92,100,25.0,Normalized to 100g from table serving 200g with 50g available carbs and GL 22.
T1_0499,"Maize (Zea Mays), flour made into chapatti (India)",Breads & flatbreads,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #499",26.67,24.0,29.33,High,0.92,100,43.33,Normalized to 100g from table serving 30g with 13g available carbs and GL 8.
T1_1775,"Banana, (Musa sapientum), Nendra variety,",Fruits,70,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",25.83,23.25,28.42,High,0.92,100,37.5,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.
T1_1776,Barley (Hordeum vulgare),Grains & staples,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",10.67,9.6,11.73,Medium,0.92,100,24.67,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.
T1_1777,"Bengal gram dhal, chickpea",Pulses & legumes,11,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1777",2.67,2.4,2.93,Low,0.92,100,24.0,Normalized to 100g from table serving 150g with 36g available carbs and GL 4.
T1_0495,Barley (Hordeum vulgare) (India),Grains & staples,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #495",13.33,12.0,14.67,Medium,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 20.
T1_0609,"Wheat, whole kernels (Triticum aestivum) (India)14",Grains & staples,30,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #609",22.0,19.8,24.2,High,0.92,100,76.0,Normalized to 100g from table serving 50g with 38g available carbs and GL 11.
