food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
INDWEB_0001,Grilled bread toast (white bread),Grilled bread toast (white bread),Breads & flatbreads,portion,100,100,100,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,15.62,15.62,15.62,Medium,0.41,22.0,"Per-100g values proxy-mapped to validated source item 'Grilled and Wich Cheese' (food_id=WEST_IN_0135); mapping_score=0.29; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0002,Grilled bread toast (brown bread),Grilled bread toast (brown bread),Breads & flatbreads,portion,100,100,100,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,15.62,15.62,15.62,Medium,0.41,22.0,"Per-100g values proxy-mapped to validated source item 'Grilled and Wich Cheese' (food_id=WEST_IN_0135); mapping_score=0.29; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0003,Butter toast,Butter toast,Breads & flatbreads,portion,100,100,100,0.9,64.7,Henry et al. GI tables (non-Indian cohort),21.59,21.59,21.59,High,0.45,33.38,"Per-100g values proxy-mapped to validated source item 'Butter Cake' (food_id=NONIND_0692); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0004,Masala toast,Masala toast,Breads & flatbreads,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0005,Cheese toast,Cheese toast,Breads & flatbreads,portion,100,100,100,0.9,95.0,Henry et al. GI tables (non-Indian cohort),60.93,60.93,60.93,High,0.45,64.13,"Per-100g values proxy-mapped to validated source item 'Cheese Bun' (food_id=NONIND_0008); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0006,Garlic bread toast,Garlic bread toast,Breads & flatbreads,portion,100,100,100,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,29.29,29.29,High,0.65,41.25,"Per-100g values proxy-mapped to validated source item 'Garlic Bread' (food_id=WEST_IN_0133); mapping_score=0.75; mapping_tier=high. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0007,Bread poha,Bread poha,Breads & flatbreads,portion,100,100,100,0.9,65.0,Henry et al. GI tables (non-Indian cohort),14.44,14.44,14.44,Medium,0.45,22.22,"Per-100g values proxy-mapped to validated source item 'Bread Fruit' (food_id=NONIND_0593); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0008,Bread uttapam,Bread uttapam,Breads & flatbreads,portion,100,100,100,0.9,65.0,Henry et al. GI tables (non-Indian cohort),14.44,14.44,14.44,Medium,0.45,22.22,"Per-100g values proxy-mapped to validated source item 'Bread Fruit' (food_id=NONIND_0593); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0009,Pav (plain),Pav (plain),Breads & flatbreads,portion,100,100,100,0.9,60.0,Henry et al. GI tables (non-Indian cohort),8.95,8.95,8.95,Low,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
INDWEB_0010,Ladi pav,Ladi pav,Breads & flatbreads,portion,100,100,100,0.9,71.7,Henry et al. GI tables (non-Indian cohort),6.6,6.6,6.6,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
