food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0002,Pizza Veg,Western mains,54,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Stone Baked Whole Wheat Pizza - Vegetable, Pesto' (GI 54, GL 11 per 100g).",11.0,9.9,12.1,Medium,0.9,100,21.0,"Matched score=71. Source row: 1225 Stone Baked Whole Wheat Pizza - Vegetable, Pesto 54±4 78 Normal, 10 Bread, 2h UO5 100 21 11"
BASE_0003,Pizza Paneer,Western mains,54,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Stone Baked Whole Wheat Pizza - Vegetable, Pesto' (GI 54, GL 11 per 100g).",11.0,9.9,12.1,Medium,0.9,100,21.0,"Matched score=59. Source row: 1225 Stone Baked Whole Wheat Pizza - Vegetable, Pesto 54±4 78 Normal, 10 Bread, 2h UO5 100 21 11"
BASE_0004,Pizza Chicken,Western mains,54,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Stone Baked Whole Wheat Pizza - Vegetable, Pesto' (GI 54, GL 11 per 100g).",11.0,9.9,12.1,Medium,0.9,100,21.0,"Matched score=56. Source row: 1225 Stone Baked Whole Wheat Pizza - Vegetable, Pesto 54±4 78 Normal, 10 Bread, 2h UO5 100 21 11"
BASE_0007,Pizza Pocket,Western mains,54,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Stone Baked Whole Wheat Pizza - Vegetable, Pesto' (GI 54, GL 11 per 100g).",11.0,9.9,12.1,Medium,0.9,100,21.0,"Matched score=59. Source row: 1225 Stone Baked Whole Wheat Pizza - Vegetable, Pesto 54±4 78 Normal, 10 Bread, 2h UO5 100 21 11"
BASE_0008,Burger Veg,Western mains,62,"International Tables of GI & GL (Atkinson et al., 2008): matched to '100% Whole wheat Gigantico Burger Buns,' (GI 62, GL 7 per 30g).",23.3,21.0,25.6,High,0.9,100,40.0,"Matched score=75. Source row: 144 100% Whole wheat Gigantico Burger Buns, 62±6 89 Normal, 10 Bread, 2h UO5 30 12 7"
BASE_0009,Burger Chicken,Western mains,62,"International Tables of GI & GL (Atkinson et al., 2008): matched to '100% Whole wheat Gigantico Burger Buns,' (GI 62, GL 7 per 30g).",23.3,21.0,25.6,High,0.9,100,40.0,"Matched score=60. Source row: 144 100% Whole wheat Gigantico Burger Buns, 62±6 89 Normal, 10 Bread, 2h UO5 30 12 7"
BASE_0010,Burger Paneer,Western mains,62,"International Tables of GI & GL (Atkinson et al., 2008): matched to '100% Whole wheat Gigantico Burger Buns,' (GI 62, GL 7 per 30g).",23.3,21.0,25.6,High,0.9,100,40.0,"Matched score=63. Source row: 144 100% Whole wheat Gigantico Burger Buns, 62±6 89 Normal, 10 Bread, 2h UO5 30 12 7"
BASE_0011,Burger Cheese,Western mains,62,"International Tables of GI & GL (Atkinson et al., 2008): matched to '100% Whole wheat Gigantico Burger Buns,' (GI 62, GL 7 per 30g).",23.3,21.0,25.6,High,0.9,100,40.0,"Matched score=63. Source row: 144 100% Whole wheat Gigantico Burger Buns, 62±6 89 Normal, 10 Bread, 2h UO5 30 12 7"
BASE_0023,Pasta Pesto,Western mains,37,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Wholegrain Pasta & Sauce, Cheesy, prepared' (GI 37, GL 8 per 200g).",4.0,3.6,4.4,Low,0.9,100,11.0,"Matched score=62. Source row: 1190 Wholegrain Pasta & Sauce, Cheesy, prepared 37±5 53 Normal, 10 Glucose, 2h UO4 200 22 8"
BASE_0024,Pasta Alfredo,Western mains,37,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Wholegrain Pasta & Sauce, Cheesy, prepared' (GI 37, GL 8 per 200g).",4.0,3.6,4.4,Low,0.9,100,11.0,"Matched score=56. Source row: 1190 Wholegrain Pasta & Sauce, Cheesy, prepared 37±5 53 Normal, 10 Glucose, 2h UO4 200 22 8"
BASE_0025,Mac and Cheese,Western mains,34,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Deluxe Cheddar Macaroni & Cheese Dinner' (GI 34, GL 13 per 60g).",21.7,19.5,23.9,High,0.9,100,65.0,"Matched score=60. Source row: 1235 Deluxe Cheddar Macaroni & Cheese Dinner 34±6 48 Normal, 10 Bread, 2h UO5 60 39 13"
BASE_0026,Lasagne Veg,Western mains,55,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Lasagne sheets, dry pasta, boiled in unsalted water' (GI 55, GL 26 per 180g).",14.4,13.0,15.8,Medium,0.9,100,26.1,"Matched score=78. Source row: 1341 Lasagne sheets, dry pasta, boiled in unsalted water 55±8 79 Normal, 8 Glucose, 2h 23 180 47 26"
BASE_0027,Lasagne Chicken,Western mains,67,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Chicken and noodles with vegetables, strained8' (GI 67, GL 5 per 120g).",4.2,3.8,4.6,Low,0.9,100,5.8,"Matched score=64. Source row: 1069 Chicken and noodles with vegetables, strained8 67±11 96 Normal, 10 (adults) Glucose, 2h UO4 120 7 5"
