food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0001,Pizza Margherita,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,15.0,12.0,18.0,Medium,0.75,100,25.9,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0002,Pizza Veg,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.9,10.3,15.5,Medium,0.75,100,22.2,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0003,Pizza Paneer,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.2,9.8,14.6,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0004,Pizza Chicken,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.2,9.8,14.6,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0005,Pizza Pepperoni,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.2,9.8,14.6,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0006,Calzone,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.3,11.4,17.2,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0007,Pizza Pocket,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.3,11.4,17.2,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0008,Burger Veg,Western mains,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.2,11.4,17.0,Medium,0.75,100,25.8,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0009,Burger Chicken,Western mains,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.4,10.7,16.1,Medium,0.75,100,24.4,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0010,Burger Paneer,Western mains,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.4,10.7,16.1,Medium,0.75,100,24.4,Distinct base dish; GI/GL computed from burger recipe anchor.
