food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_0001,Croissant (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0002,Croissant (chocolate),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0003,Muffin (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0004,Muffin (chocolate),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0005,Cupcake (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0006,Cupcake (chocolate),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0007,Brownie (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0008,Brownie (chocolate),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0009,Donut (chocolate),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0010,Donut (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_0011,Pastry (caramel),"Western foods (India, common consumption)",78.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),36.4,20.0,52.8,High,0.55,100,46.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
