food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
W0001,Pizza (Margherita),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0002,Pizza (Margherita) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0003,Pizza (Veggie),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0004,Pizza (Veggie) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0005,Pizza (Paneer),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0006,Pizza (Paneer) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0007,Pizza (Chicken),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0008,Pizza (Chicken) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0009,Pizza (Pepperoni),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0010,Pizza (Pepperoni) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0011,Pizza (BBQ chicken),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
