food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_FINAL_0001,Pizza (cheese) (baked),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),15.1,8.3,21.9,Medium,0.55,100,25.8,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0002,Pizza (cheese) (with vegetables),"Western foods (India, common consumption)",57.6,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),13.8,7.6,20.0,Medium,0.55,100,24.0,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0003,Pizza (cheese) (thin crust),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),12.9,7.1,18.7,Medium,0.55,100,21.9,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0004,Pizza (cheese) (extra cheese),"Western foods (India, common consumption)",57.0,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),11.2,6.2,16.2,Medium,0.55,100,19.6,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0005,Pizza (cheese),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),15.1,8.3,21.9,Medium,0.55,100,25.8,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0006,Pizza (cheese) (with chicken),"Western foods (India, common consumption)",57.0,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),12.9,7.1,18.7,Medium,0.55,100,22.7,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0007,Pizza (cheese) (pan style),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),17.0,9.4,24.6,Medium,0.55,100,28.9,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0008,Pizza (vegetable),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),15.3,8.4,22.2,Medium,0.55,100,26.0,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0009,Pizza (vegetable) (extra cheese),"Western foods (India, common consumption)",55.9,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),10.2,5.6,14.8,Medium,0.55,100,18.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0010,Pizza (vegetable) (with chicken),"Western foods (India, common consumption)",57.0,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),13.1,7.2,19.0,Medium,0.55,100,22.9,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0011,Pizza (vegetable) (baked),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),15.3,8.4,22.2,Medium,0.55,100,26.0,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0012,Pizza (vegetable) (thin crust),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),13.0,7.2,18.8,Medium,0.55,100,22.1,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0013,Pizza (vegetable) (with vegetables),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),15.3,8.4,22.2,Medium,0.55,100,26.0,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0014,Pizza (vegetable) (pan style),"Western foods (India, common consumption)",58.8,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),17.1,9.4,24.8,Medium,0.55,100,29.2,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0015,Pizza (chicken) (baked),"Western foods (India, common consumption)",58.2,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),14.3,7.9,20.7,Medium,0.55,100,24.6,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0016,Pizza (chicken) (thin crust),"Western foods (India, common consumption)",58.2,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),12.2,6.7,17.7,Medium,0.55,100,20.9,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
WEST_FINAL_0017,Pizza (chicken) (pan style),"Western foods (India, common consumption)",58.2,Tier-4 estimate: category baseline GI + cooking/topping modifiers (not dish-specific clinical GI),16.1,8.9,23.3,Medium,0.55,100,27.6,Estimated per 100 g; carb density adjusted for toppings/cooking method; designed for Indian user recognition.
