food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0361,Herbaltea:Spearmint,Non-Indian reference food,108.8,Henry et al. GI tables (non-Indian cohort),10880.0,9574.4,12185.6,High,0.88,100,10000.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0360,Herbaltea:Rosemary,Non-Indian reference food,126.5,Henry et al. GI tables (non-Indian cohort),10541.7,9276.7,11806.7,High,0.88,100,8333.3,Original country: Japan. Renamed generically for Indian audience.
NONIND_0359,Herbaltea:Lemongrass,Non-Indian reference food,112.1,Henry et al. GI tables (non-Indian cohort),5605.0,4932.4,6277.6,High,0.88,100,5000.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0362,Herbaltea:Thyme,Non-Indian reference food,106.1,Henry et al. GI tables (non-Indian cohort),5305.0,4668.4,5941.6,High,0.88,100,5000.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0358,Herbaltea:Lemonbalm,Non-Indian reference food,99.6,Henry et al. GI tables (non-Indian cohort),4980.0,4382.4,5577.6,High,0.88,100,5000.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0441,Majiapomelo,Non-Indian reference food,72.2,Henry et al. GI tables (non-Indian cohort),291.5,256.52,326.48,High,0.88,100,404.0,Original country: China. Renamed generically for Indian audience.
NONIND_0076,Lacypancakewithchickencurry,Non-Indian reference food,81.0,Henry et al. GI tables (non-Indian cohort),258.2,227.22,289.18,High,0.88,100,318.8,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0357,Rawherb:Cornsalad,Non-Indian reference food,97.5,Henry et al. GI tables (non-Indian cohort),243.8,214.54,273.06,High,0.88,100,250.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0304,Ricecracker,Non-Indian reference food,111.0,Henry et al. GI tables (non-Indian cohort),222.0,195.36,248.64,High,0.88,100,200.0,Original country: Japan. Renamed generically for Indian audience.
NONIND_0077,Flatbreadwithdhalcurry,Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),213.3,187.7,238.9,High,0.88,100,309.1,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0078,Friednoodleswithchickenandprawns,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),200.4,176.35,224.45,High,0.88,100,364.3,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0241,Pandesal+Coconutflour,Non-Indian reference food,96.6,Henry et al. GI tables (non-Indian cohort),197.1,173.45,220.75,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0247,Multigrainloaf+Coconutflour,Non-Indian reference food,92.5,Henry et al. GI tables (non-Indian cohort),188.7,166.06,211.34,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0253,Chococrinkles+Coconutflour,Non-Indian reference food,77.0,Henry et al. GI tables (non-Indian cohort),157.1,138.25,175.95,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0075,Coconutmilkrice,Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),151.5,133.32,169.68,High,0.88,100,309.1,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0251,Hotcake+Coconutflour,Non-Indian reference food,72.3,Henry et al. GI tables (non-Indian cohort),147.5,129.8,165.2,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0243,Granolabar+Coconutflour,Non-Indian reference food,71.6,Henry et al. GI tables (non-Indian cohort),146.1,128.57,163.63,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0245,Cinnamonbread+Coconutflour,Non-Indian reference food,71.4,Henry et al. GI tables (non-Indian cohort),145.7,128.22,163.18,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0249,Chocochipcookies+Coconutflour,Non-Indian reference food,71.4,Henry et al. GI tables (non-Indian cohort),145.7,128.22,163.18,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0259,Brownies+Coconutflour,Non-Indian reference food,61.3,Henry et al. GI tables (non-Indian cohort),125.1,110.09,140.11,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0255,Europeancarrotcake Coconutflour,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),112.2,98.74,125.66,High,0.88,100,204.0,Original country: Philippines. Renamed generically for Indian audience.
