food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_0001,Pizza (cheese) (plain),Western foods (Indian consumption),58.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",15.1,9.8,20.4,Medium,0.5,100,25.8,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0002,Pizza (cheese) (extra cheese),Western foods (Indian consumption),57.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",11.2,7.3,15.1,Medium,0.5,100,19.6,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0003,Pizza (cheese) (thin crust),Western foods (Indian consumption),58.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",12.9,8.4,17.4,Medium,0.5,100,21.9,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0004,Pizza (cheese) (pan style),Western foods (Indian consumption),58.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",17.0,11.0,23.0,Medium,0.5,100,28.9,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0005,Pizza (cheese) (baked),Western foods (Indian consumption),58.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",15.1,9.8,20.4,Medium,0.5,100,25.8,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0006,Pizza (cheese) (fried),Western foods (Indian consumption),60.6,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",13.3,8.6,18.0,Medium,0.5,100,21.9,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0007,Pizza (cheese),Western foods (Indian consumption),58.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",15.1,9.8,20.4,Medium,0.5,100,25.8,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0008,Pizza (cheese) (with chicken),Western foods (Indian consumption),57.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",12.9,8.4,17.4,Medium,0.5,100,22.7,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0009,Pizza (plain),Western foods (Indian consumption),60.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",16.8,10.9,22.7,Medium,0.5,100,28.0,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0010,Pizza (extra cheese),Western foods (Indian consumption),57.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",11.2,7.3,15.1,Medium,0.5,100,19.6,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0011,Pizza (thin crust),Western foods (Indian consumption),60.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",14.3,9.3,19.3,Medium,0.5,100,23.8,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0012,Pizza (pan style),Western foods (Indian consumption),60.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",18.8,12.2,25.4,Medium,0.5,100,31.4,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0013,Pizza (baked),Western foods (Indian consumption),60.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",16.8,10.9,22.7,Medium,0.5,100,28.0,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0014,Pizza (fried),Western foods (Indian consumption),61.8,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",14.7,9.6,19.8,Medium,0.5,100,23.8,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0015,Pizza,Western foods (Indian consumption),60.0,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",16.8,10.9,22.7,Medium,0.5,100,28.0,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
WEST_0016,Pizza (with chicken),Western foods (Indian consumption),58.2,"Tier-4 estimate: category baseline GI with ingredient, structure, and cooking-method modifiers",14.3,9.3,19.3,Medium,0.5,100,24.6,"Per 100 g estimate. Carb density adjusted for fat/protein displacement, grain structure, and cooking method."
