food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_0001,Pizza (cheese) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0002,Pizza (cheese) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0003,Pizza (cheese) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0004,Pizza (cheese) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0005,Pizza (cheese) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0006,Pizza (cheese) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0007,Pizza (cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0008,Pizza (cheese) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0009,Pizza (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0010,Pizza (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0011,Pizza (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0012,Pizza (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0013,Pizza (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0014,Pizza (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0015,Pizza,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0016,Pizza (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0017,Pizza (chicken) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0018,Pizza (chicken) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0019,Pizza (chicken) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0020,Pizza (chicken) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0021,Pizza (chicken) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0022,Pizza (chicken) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0023,Pizza (chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0024,Pizza (chicken) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0025,Lasagne (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0026,Lasagne (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0027,Lasagne (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0028,Lasagne (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0029,Lasagne (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0030,Lasagne (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0031,Lasagne,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0032,Lasagne (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0033,Lasagne (chicken) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0034,Lasagne (chicken) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0035,Lasagne (chicken) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0036,Lasagne (chicken) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0037,Lasagne (chicken) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0038,Lasagne (chicken) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0039,Lasagne (chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0040,Lasagne (chicken) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0041,Pasta (white sauce) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0042,Pasta (white sauce) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0043,Pasta (white sauce) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0044,Pasta (white sauce) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0045,Pasta (white sauce) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0046,Pasta (white sauce) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0047,Pasta (white sauce),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0048,Pasta (white sauce) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0049,Pasta (red sauce) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0050,Pasta (red sauce) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0051,Pasta (red sauce) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0052,Pasta (red sauce) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0053,Pasta (red sauce) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0054,Pasta (red sauce) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0055,Pasta (red sauce),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0056,Pasta (red sauce) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0057,Pasta (cheese) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0058,Pasta (cheese) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0059,Pasta (cheese) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0060,Pasta (cheese) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0061,Pasta (cheese) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0062,Pasta (cheese) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0063,Pasta (cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0064,Pasta (cheese) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0065,Mac and cheese (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0066,Mac and cheese (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0067,Mac and cheese (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0068,Mac and cheese (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0069,Mac and cheese (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
