food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_IN_0001,Calzone Chicken,Western foods (India) - Pizza,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.7,11.6,19.8,Medium,0.7,100,23.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0002,Calzone Paneer,Western foods (India) - Pizza,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,16.5,12.2,20.8,Medium,0.7,100,24.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_paneer.
WEST_IN_0003,Calzone Veg,Western foods (India) - Pizza,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,19.6,14.5,24.7,Medium,0.7,100,28.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0004,Pizza BBQ Chicken,Western foods (India) - Pizza,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.7,11.7,19.7,Medium,0.71,100,23.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0005,Pizza BBQ Chicken (pan pizza),Western foods (India) - Pizza,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,24.6,18.3,30.9,High,0.71,100,36.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_pan.
WEST_IN_0006,Pizza BBQ Chicken (thin crust),Western foods (India) - Pizza,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,23.3,17.3,29.3,High,0.71,100,34.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_thin_crust.
WEST_IN_0007,Pizza Capsicum & Onion,Western foods (India) - Pizza,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,19.7,14.7,24.7,Medium,0.72,100,28.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0008,Pizza Capsicum & Onion (pan pizza),Western foods (India) - Pizza,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,25.3,18.9,31.7,High,0.72,100,36.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_pan.
WEST_IN_0009,Pizza Capsicum & Onion (thin crust),Western foods (India) - Pizza,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,23.9,17.9,29.9,High,0.72,100,34.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_thin_crust.
WEST_IN_0010,Pizza Cheese Burst,Western foods (India) - Pizza,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.0,11.2,18.8,Medium,0.72,100,22.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_cheese_burst.
