food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
W_ATK2008_0001,"Pizza Super Supreme, pan pizza",Pizza,36,Atkinson 2008 International GI/GL tables: food no 1222; GI=36; serve 100.0 g; available carbs 24.0 g; GL 9.0.,9.0,9.0,9.0,Low,0.9,100,24.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0002,"Pizza Super Supreme, thin crust",Pizza,30,Atkinson 2008 International GI/GL tables: food no 1223; GI=30; serve 100.0 g; available carbs 22.0 g; GL 7.0.,7.0,7.0,7.0,Low,0.9,100,22.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0003,"Pizza Veg Supreme, thin crust",Pizza,49,Atkinson 2008 International GI/GL tables: food no 1224; GI=49; serve 100.0 g; available carbs 25.0 g; GL 12.0.,12.0,12.0,12.0,Medium,0.9,100,25.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0004,"Stone Baked Whole Wheat Pizza - Vegetable, Pesto",Pizza,54,Atkinson 2008 International GI/GL tables: food no 1225; GI=54; serve 100.0 g; available carbs 21.0 g; GL 11.0.,11.0,11.0,11.0,Medium,0.9,100,21.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0005,"Fish burger (fish patty, cheese and tartare",Burger,66,Atkinson 2008 International GI/GL tables: food no 1175; GI=66; serve 128.0 g; available carbs 30.0 g; GL 20.0.,15.6,15.6,15.6,Medium,0.9,100,23.4,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0006,"Hamburger (beef patty, ketchup, pickle, onion and",Burger,66,Atkinson 2008 International GI/GL tables: food no 1176; GI=66; serve 95.0 g; available carbs 25.0 g; GL 17.0.,17.9,17.9,17.9,Medium,0.9,100,26.3,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0007,"Lean beef burger (lean beef patty, tomato, mixed",Burger,66,Atkinson 2008 International GI/GL tables: food no 1177; GI=66; serve 164.0 g; available carbs 26.0 g; GL 17.0.,10.4,10.4,10.4,Medium,0.9,100,15.9,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0008,"Chicken burger (chicken patty, lettuce",Burger,66,Atkinson 2008 International GI/GL tables: food no 1178; GI=66; serve 186.0 g; available carbs 40.0 g; GL 26.0.,14.0,14.0,14.0,Medium,0.9,100,21.5,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0009,"Veg Burger (vegetable patty, lettuce, tomato and",Burger,59,Atkinson 2008 International GI/GL tables: food no 1179; GI=59; serve 100.0 g; available carbs 24.0 g; GL 14.0.,14.0,14.0,14.0,Medium,0.9,100,24.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0010,Pasta Florentina,Pasta,53,Atkinson 2008 International GI/GL tables: food no 1160; GI=53; serve 250.0 g; available carbs 34.0 g; GL 12.0.,4.8,4.8,4.8,Low,0.9,100,13.6,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0011,"Wholegrain Pasta & Sauce, Cheesy, prepared",Pasta,37,Atkinson 2008 International GI/GL tables: food no 1190; GI=37; serve 200.0 g; available carbs 22.0 g; GL 8.0.,4.0,4.0,4.0,Low,0.9,100,11.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0012,"Wholegrain Pasta & Sauce, Creamy Carbonara",Pasta,39,Atkinson 2008 International GI/GL tables: food no 1191; GI=39; serve 200.0 g; available carbs 23.0 g; GL 9.0.,4.5,4.5,4.5,Low,0.9,100,11.5,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0013,"Wholegrain Pasta & Sauce, Creamy Sun-dried Tomato",Pasta,43,Atkinson 2008 International GI/GL tables: food no 1192; GI=43; serve 200.0 g; available carbs 23.0 g; GL 10.0.,5.0,5.0,5.0,Low,0.9,100,11.5,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0014,"Wholegrain Pasta & Sauce, Parmesan and Cracked",Pasta,33,Atkinson 2008 International GI/GL tables: food no 1193; GI=33; serve 200.0 g; available carbs 20.0 g; GL 7.0.,3.5,3.5,3.5,Low,0.9,100,10.0,Measured GI + GL per serving; converted to per 100 g using reported serve size.
W_ATK2008_0015,"Lasagne, beef (frozen)",Pasta,47,Atkinson 2008 International GI/GL tables: food no 1206; GI=47; serve 300.0 g; available carbs 35.0 g; GL 17.0.,5.7,5.7,5.7,Low,0.9,100,11.7,Measured GI + GL per serving; converted to per 100 g using reported serve size.
