food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,Serving size G,Serving size min,Serving Size Max,Serving size confidence,Serving size min
INDWEBX_00001,Aam panna,Aam panna,Beverages,,,,,,28,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #861",1.12,1.12,1.12,Low,0.5,4,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Raspberry' (food_id=T1_0861); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,160,113,206,0.55,113
INDWEBX_00002,Coconut water,Coconut water,Beverages,,,,,,42,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,3.78,3.78,Low,0.5,9,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,159,113,206,0.55,113
INDWEBX_00003,Filter coffee,Filter coffee,Beverages,,,,,,42,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #855",3.78,3.78,3.78,Low,0.5,9,Class=beverage. Proxy-mapped to validated source 'Yoghurt Red Fruit Raspberry and Cranberry' (food_id=T1_0855); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,177,127,227,0.55,127
INDWEBX_00004,Ginger tea,Ginger tea,Beverages,,,,,,74,Henry et al. GI tables (non-Indian cohort),4.93,4.93,4.93,Low,0.5,6.67,Class=beverage. Proxy-mapped to validated source 'Icelemon Tea' (food_id=NONIND_0017); score=0.33; tier=low. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00005,Jaljeera,Jaljeera,Beverages,,,,,,36,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,1.56,1.56,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,162,115,209,0.55,115
INDWEBX_00006,Masala chai,Masala chai,Beverages,,,,,,36,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,1.56,1.56,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,157,111,203,0.6,111
INDWEBX_00007,Salted lassi,Salted lassi,Beverages,,,,,,11,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #859",0.48,0.48,0.48,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Apricot' (food_id=T1_0859); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,158,112,205,0.55,112
INDWEBX_00008,Soft drink (cola),Soft drink (cola),Beverages,,,,,,65,Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008).,2.07,2.07,2.07,Low,0.66,3.18,Class=beverage. Proxy-mapped to validated source 'Soft Drink' (food_id=WEST_IN_0272); score=0.67; tier=high. Converted from source serving_size_g=330g.,257,206,307,0.7,206
INDWEBX_00009,Sugarcane juice,Sugarcane juice,Beverages,,,,,,61,Henry et al. GI tables (non-Indian cohort),2.93,2.93,2.93,Low,0.5,4.8,Class=beverage. Proxy-mapped to validated source 'Yacon Juice' (food_id=NONIND_0277); score=0.33; tier=low. Converted from source serving_size_g=250g.,250,200,300,0.7,200
INDWEBX_00010,Sweet lassi,Sweet lassi,Beverages,,,,,,32,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #865",1.04,1.04,1.04,Low,0.5,3.25,Class=beverage. Proxy-mapped to validated source 'Yoghurt Tropical Fruit Mango' (food_id=T1_0865); score=0.00; tier=prototype. Converted from source serving_size_g=200g.,118,89,147,0.7,89
INDWEBX_00011,Thandai,Thandai,Beverages,,,,,,28,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #861",1.12,1.12,1.12,Low,0.5,4,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Raspberry' (food_id=T1_0861); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,160,113,206,0.55,113
INDWEBX_00012,Butter toast,Butter toast,Breads & flatbreads,,,,,,44,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",36.67,36.67,36.67,High,0.5,83.33,Class=bread. Proxy-mapped to validated source 'Chapati Wheat Flour Thin with Green Gram' (food_id=T1_1785); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,41,31,52,0.75,31
INDWEBX_00013,Cheese toast,Cheese toast,Breads & flatbreads,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.36,11.36,11.36,Medium,0.44,16,Class=bread. Proxy-mapped to validated source 'Sub and Wich Cheese' (food_id=WEST_IN_0277); score=0.20; tier=low. Converted from source serving_size_g=200g.,150,105,195,0.6,105
INDWEBX_00014,Egg toast,Egg toast,Breads & flatbreads,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.73,13.73,13.73,Medium,0.45,19.33,Class=protein. Proxy-mapped to validated source 'Grilled and Wich Egg' (food_id=WEST_IN_0141); score=0.28; tier=low. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00015,Garlic toast,Garlic toast,Breads & flatbreads,,,,,,70,Henry et al. GI tables (non-Indian cohort),46.67,46.67,46.67,High,0.48,66.67,Class=bread. Proxy-mapped to validated source 'Kurakkan Flour Roti' (food_id=NONIND_0584); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,40,31,50,0.75,31
INDWEBX_00016,Grilled sandwich (chicken),Grilled sandwich (chicken),Breads & flatbreads,,,,,,69,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.34,13.34,13.34,Medium,0.52,19.33,Class=protein. Proxy-mapped to validated source 'Grilled and Wich Chicken' (food_id=WEST_IN_0137); score=0.63; tier=medium. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00017,Grilled sandwich (paneer),Grilled sandwich (paneer),Breads & flatbreads,,,,,,69,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.34,13.34,13.34,Medium,0.45,19.33,Class=bread. Proxy-mapped to validated source 'Grilled and Wich Tuna' (food_id=WEST_IN_0147); score=0.32; tier=low. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00018,Grilled sandwich (veg),Grilled sandwich (veg),Breads & flatbreads,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,15.62,15.62,15.62,Medium,0.45,22,Class=bread. Proxy-mapped to validated source 'Grilled and Wich Cucumber' (food_id=WEST_IN_0140); score=0.32; tier=low. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00019,Masala toast,Masala toast,Breads & flatbreads,,,,,,44,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",36.67,36.67,36.67,High,0.5,83.33,Class=bread. Proxy-mapped to validated source 'Chapati Wheat Flour Thin with Green Gram' (food_id=T1_1785); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,51,38,64,0.75,38
INDWEBX_00020,Toast (brown bread),Toast (brown bread),Breads & flatbreads,,,,,,47,Henry et al. GI tables (non-Indian cohort),4.73,4.73,4.73,Low,0.5,10.06,Class=bread. Proxy-mapped to validated source 'Bread Fruit Boiled' (food_id=NONIND_0566); score=0.28; tier=low. Converted from source serving_size_g=180g.,26,21,31,0.85,21
INDWEBX_00021,Toast (white bread),Toast (white bread),Breads & flatbreads,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,29.29,29.29,High,0.44,41.25,Class=bread. Proxy-mapped to validated source 'Garlic Bread' (food_id=WEST_IN_0133); score=0.33; tier=low. Converted from source serving_size_g=80g.,25,20,30,0.85,20
