Suggested_item,Category,Region,Meal_occasion,Standardization_hint
Akki rotti,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Alu Potala Rasa,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Ambur biryani,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Avial,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
balushahi,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Bara,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Boondi,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Buttermilk curry,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Cheela,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chhena Mandua,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chhena Mudki,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chhena Tadia,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chhilka Roti,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chicken seekh kabab,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chilly Gobi,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Chitranna,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Dahi baigana,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Dalpuri,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Dhansak,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Doodhpak,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gaja,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gajak,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
gajar ka halwa,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gavvalu,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
goan nevri,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gujia,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gulgula,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Gushtab,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Hansakeli,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
